"init.self" "init.elapsed" "init.child" "ref.self" "ref.elapsed" "ref.child"
289.706 3.16 292.991 890.779 7.964 899.659
288.486 3.156 291.814 1114.633 9.348 1124.516
288.218 2.932 291.248 1231.108 9.744 1241.659
287.437 3.36 290.978 1206.164 10.148 1217.536
290.53 3.372 294.058 1433.461 11.796 1446.814
288.818 3.46 292.437 985.497 13.481 1000.278
289.27 3.156 292.536 1249.974 15.637 1266.809
289.062 3.052 292.542 1472.548 18.169 1491.991
288.526 3.36 292.294 1662.227 19.497 1683.097
288.774 3.508 292.547 1598.063 18.921 1618.135
289.65 3.128 292.903 954.967 14.841 970.364
288.83 3.24 292.203 1278.779 19.141 1299.067
295.659 3.22 299.083 1415.152 22.286 1438.961
298.727 3.368 302.434 1307.374 19.466 1328.689
295.507 3.381 299.104 1449.127 20.829 1471.07
295.862 3.501 299.506 1043.342 21.505 1066.092
298.851 3.545 302.673 1395.703 26.433 1423.296
299.703 3.064 302.921 1722.304 29.542 1753.259
299.334 3.648 303.672 1695.166 27.886 1724.357
296.118 3.452 299.986 1841.035 29.734 1872.373
300.247 3.668 304.489 1001.847 23.13 1026.18
296.763 3.632 300.874 1581.891 32.322 1615.892
295.395 3.232 298.788 1758.702 35.582 1796.358
298.743 3.632 302.753 1882.486 36.426 1920.769
297.623 3.156 300.865 1982.24 29.686 2012.495
