"init.self" "init.elapsed" "init.child" "ref.self" "ref.elapsed" "ref.child"
1083.347 10.112 1094.259 1136.531 11.349 1148.793
1079.207 10.028 1090.226 2358.775 22.482 2383.967
1079.843 9.724 1090.197 1682.177 16.797 1700.211
1077.523 9.692 1089.708 1177.745 10.797 1190.535
1082.939 10.232 1093.944 1471.456 14.381 1486.633
1079.867 10.132 1091.086 2700.793 26.862 2730.265
1081.147 10.4 1092.023 4170.213 38.415 4226.118
1078.007 9.404 1088.929 1829.33 16.245 1847.197
1085.591 10.096 1096.726 2040.46 18.857 2060.594
1112.998 10.376 1123.705 1151.028 11.197 1165.962
1136.323 10.664 1148.805 1783.032 16.529 1814.674
1124.19 10.173 1134.801 1273.972 12.281 1296.901
1106.218 9.684 1117.851 1046.021 10.105 1060.255
1113.414 10.713 1124.479 1107.869 10.82 1123.99
1124.742 10.356 1139.843 1739.525 16.105 1767.601
1124.074 10.072 1140.659 1366.421 13.213 1386.266
1135.655 9.961 1147.415 980.209 10.116 1001.134
1125.254 10.597 1139.518 1154.908 10.613 1175.729
1132.003 10.613 1149.286 1200.787 11.253 1218.915
1132.891 10.457 1146.671 1703.338 16.209 1725.133
1128.127 10.036 1141.328 1412.608 14.229 1442.423
1127.978 10.317 1143.962 959.876 8.94 977.58
1128.146 10.249 1145.677 1499.705 14.157 1527.045
1127.594 10.477 1142.669 1223.897 11.909 1238.466
1126.619 10.161 1138.034 1183.662 11.272 1196.544
1135.275 10.561 1150.158 1278.292 11.777 1300.709
1127.139 10.54 1141.843 1157.62 10.961 1174.12
1130.294 10.62 1144.002 1296.777 18.285 1316.735
1137.415 10.601 1148.604 1543.085 20.433 1566.556
1134.363 10.141 1145.255 1334.611 19.501 1356.063
1132.571 10.385 1147.865 3472.677 47.531 3527.12
1133.011 10.597 1145.537 2140.846 29.077 2173.025
1136.255 10.353 1146.995 1529.863 21.153 1553.401
1124.122 10.865 1136.661 18982.722 262.948 19269.593
1123.187 10.556 1137.725 1371.357 20.066 1393.383
1137.119 10.513 1148.387 2299.82 30.674 2332.768
1134.855 10.341 1146.425 1147.812 16.557 1166.106
1130.222 9.964 1141.829 2230.092 33.231 2266.929
1126.387 10.325 1137.845 1773.214 25.673 1803.069
1139.856 10.705 1151.514 886.151 13.176 900.271000000001
1128.366 9.68499999999999 1140.032 1345.212 18.837 1367.511
1120.918 10.388 1132.348 1203.284 16.586 1220.904
1119.51 7.47700000000003 1127.323 1920.58 20.105 1941.455
1136.923 10.788 1148.796 1094.437 16.445 1113.127
1121.09 10.2 1132.773 1446.79 21.142 1470.43
1140.679 10.309 1151.793 1850.248 27.493 1879.798
1131.066 10.08 1142.656 1900.207 28.226 1932.265
1124.763 10.385 1136.123 2349.454 33.834 2385.433
1133.395 10.517 1144.379 1131.73 16.705 1149.696
1127.995 11.117 1140.51 1339.74 19.893 1361.877
1120.102 10.392 1131.273 2817.8 42.031 2862.662
1122.687 7.40100000000001 1130.375 3509.891 37.154 3548.78
1127.59 10.197 1138.524 3051.127 44.091 3099.844
1128.774 10.76 1140.266 1222.216 19.401 1242.268
1128.574 10.773 1140.263 1359.045 24.586 1384.823
1131.307 10.725 1143.276 3391.316 59.091 3452.687
1130.043 10.661 1141.342 1578.779 25.869 1606.254
1138.991 10.481 1149.94 1520.903 26.025 1548.835
1125.11 10.585 1136.551 3050.731 53.983 3107.426
1124.846 10.26 1136.216 1913.752 34.011 1949.473
1119.418 7.30799999999999 1127.396 1746.20499999999 21.862 1769.204
1120.978 10.208 1131.973 4733.02 81.101 4820.117
1138.888 10.489 1149.798 2604.134 48.747 2654.865
1126.315 10.648 1137.582 1414.232 25.706 1440.726
1133.571 9.95700000000005 1143.862 1463.847 26.59 1491.007
1131.655 10.757 1143.594 1666.576 30.206 1697.748
1133.295 10.813 1144.618 1171.781 22.329 1195.259
1129.246 10.809 1140.859 1430.822 27.542 1459.276
1134.047 10.932 1145.849 1307.969 22.986 1331.493
1121.214 7.71599999999995 1129.589 1345.912 18.013 1364.44
1129.014 10.173 1139.534 1199.423 23.562 1223.892
1122.679 10.681 1133.955 1194.854 21.573 1216.966
1138.819 10.941 1150.428 1443.631 26.321 1471.329
1134.971 9.43200000000002 1145.148 1246.054 21.962 1268.783
1134.183 10.364 1144.89 1572.146 28.23 1601.336
1130.738 10.245 1141.933 1329.972 25.598 1356.653
1128.47 10.352 1139.165 1479.189 26.586 1506.596
1142.856 10.576 1153.851 1708.459 29.126 1738.389
1121.994 7.44900000000001 1129.733 1125.771 15.213 1141.41
1130.219 9.83199999999999 1140.351 1944.993 31.642 1978.339
1132.515 10.181 1143.08 1207.699 21.837 1230.14
