"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
2.964 0.264 561.478 8.352 0.828 2252.353
3.164 0.28 561.39 7.796 0.804 2499.027
2.824 0.212 562.957 8.116 0.872 2615.246
2.824 0.236 563.796 8.484 0.856 2267.428
2.972 0.28 563.11 8.108 0.808 2418.899
2.592 0.248 564.558 8.484 0.788 2515.999
2.788 0.252 566.443 7.928 0.684 1960.366
2.736 0.228 557.07 8.376 0.892 2358.843
2.58 0.26 563.891 7.696 0.868 2431.135
2.612 0.276 561.174 8.092 0.904 2348.14
2.54 0.28 561.969 8.444 1.036 2805.933
2.508 0.244 560.327 8.324 0.932 2853.248
2.496 0.232 573.628 11.32 1.344 2937.859
2.58 0.252 570.564 12.888 1.42 3379.772
2.5 0.256 541.062 15.76 1.58 3950.078
2.524 0.244 559.343 10.64 1.204 2771.91
2.62 0.296 551.898 15.164 1.632 3686.699
2.496 0.28 549.309999999999 12.272 1.4 3435.084
2.492 0.228 557.925 7.828 0.996 2468.561
2.456 0.236 559.013999999999 8.268 1.012 2685.626
2.492 0.248 571.072999999999 8.492 1.208 3027.663
2.688 0.252 567.404 11.232 1.34 2840.716
2.384 0.28 558.831 10.62 1.26 2993.693
2.376 0.296 554.184 11.888 1.284 3314.407
1.984 0.22 422.527 7.46 1.076 1720.681
2.136 0.231999999999999 439.901 8.524 1.064 2039.253
2.248 0.252 518.205 9.272 1.156 2225.951
