"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
1496.628 3.264 3835.539 819.34 2.612 2187.525
1568.8 3.308 3929.721 1421.668 3.8 3382.288
1523.168 3.3 3877.8 1833.852 4.376 4075.925
1523.204 3.4 3899.242 1604.512 4.34 3727.973
1172.384 3.288 3519.774 2111.564 4.776 5726.002
1237.516 3.068 3602.1 940.388 2.912 2830.897
1397.332 3.08 3786.469 1298.56 3.372 4193.337
1445.832 3.216 3844.749 1528.44 4.12 3954.54
1214.712 3.26 3581.579 1514.76 3.696 4267.028
1334.336 3.324 3705.269 853.908 2.528 2670.076
1441.364 3.248 3807.081 2674.304 6.612 7628.177
1588.188 3.3 3955.09 2553.176 6.08 6147.96
1031.552 3.16 3406.844 3308.108 7.7 10966.961
1087.672 3.4 3448.117 1269.072 3.228 3918.085
1200.124 3.244 3555.968 1400.632 3.636 4229.624
1372.932 3.352 3741.816 2070.408 4.808 5472.102
1346.308 3.46 3703.202 1158.156 3.4 3460.709
1455.56 3.38 3813.15 1790.84 4.372 4139.142
1416.34 3.444 3773.663 1278.932 3.336 3655.868
1568.996 3.564 3930.323 1886.572 4.748 4170.355
1208.08 3.32 3546.057 1253.5 3.352 3972.952
1364.36 3.376 3723.036 1092.212 2.948 2921.188
1336.716 3.316 3678.494 1371.912 3.64 3992.959
1344.504 3.388 3705.581 1460.396 4.368 4781.231
1093.884 3.392 3469.833 2255.504 5.352 6148.26
1359.228 3.376 3714.232 1014.46 2.956 2998.781
1178.744 3.272 3514.55 1031.4 2.784 3291.86
1451.532 3.428 3821.425 1589.792 4.312 4097.637
975.148 3.18 3348.899 1464.136 4.076 5023.166
1179.552 3.34 3535.347 1230.368 3.356 3655.67
1074.688 3.12 3444.697 1044.616 2.904 3879.536
1364.508 3.244 3730.35 1396.132 3.608 4247.96200000001
1098.916 3.352 3489.166 1284.452 3.736 3832.961
1151.82 3.48 3501.8 715.78 2.276 2343.571
1241.956 3.512 3614.421 2322.332 5.28 5758.958
1353.788 3.312 3734.9 1079.392 3.296 2946.558
1072.196 3.34 3449.506 1273.252 3.244 4364.614
1175.352 3.496 3537.659 2140.156 4.632 6319.115
1082.696 3.384 3454.985 1523.364 3.588 4218.348
1162.516 3.468 3502.586 1223.364 3.336 3826.283
1127.684 3.356 3487.207 1225.688 3.588 4113.075
1202.136 3.156 3556.07900000001 2193.392 5.056 5896.154
1118.492 3.236 3487.424 1313.664 3.024 3912.326
1230.484 3.396 3596.549 1439.836 4.128 4073.501
879.136 3.216 3251.534 1333.7 3.548 5306.209
1104.56 3.332 3479.407 1308.76 3.648 4595.021
1058.22 3.148 3448.749 1139.464 2.716 3960.563
1083.5 3.336 3443.647 1559.192 3.82 4658.637
1122.984 3.228 3498.347 939.392 2.86 3317.74099999999
1146.508 3.24 3548.546 1368.452 3.74 3788.974
1115.976 3.34 3463.315 1069.312 3.172 3769.794
1433.112 3.38 3813.044 1466.564 4.04 3948.645
927.84 3.408 3299.723 1318.104 3.584 4685.46
1035.24 3.384 3426.769 1089.816 3.04 3867.303
1012.836 3.308 3383.499 1217.564 3.02 3867.059
1222.792 3.36 3595.162 1431.248 3.928 4190.995
930.227999999999 3.292 3272.965 1642.024 4.132 5206.814
1005.068 3.212 3389.532 1454.096 3.856 4495.969
970.896000000001 3.192 3313.272 913.616 2.56 3098.505
1136.904 3.26 3485.561 1209.2 3.46 3267.602
549.647999999999 2.568 2102.721 699.256000000001 2.4 2777.972
969.915999999999 3.36 3330.055 1302 3.06 4412.169
959.832 3.216 3329.089 1444.744 3.424 5183.424
1021.34 3.148 3363.02 1186.392 3.3 4240.243
