"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
39880.064 10084.876 53044.612 31429.228 7274.6 41539.485
40828.456 10250.316 54158.347 30863.272 7742.64 41125.712
41234.676 11200.752 55539.69 26012.772 7096.744 35710.849
41334.272 7147.948 51585.163 21658.144 1345.284 24868.05
39263.504 9044.532 51393.932 37912.676 10280.068 52386.041
40111.2 9721.576 52980.633 49256.292 8485.684 62583.577
40643.124 4538.092 48292.108 37219.196 1212.584 42113.021
40642.76 10290.56 54052.24 59559.14 8602.42 72942.681
38741.3 8661.148 50488.963 40657.816 11290.832 56638.762
40221.772 10358.76 53644.904 19474.612 4862.604 26225.316
39909.296 9860.504 52946.121 41413.732 12240.348 58006.243
41586.664 12008.42 56692.845 40393.072 10779.436 55033.119
37667.24 6839.724 47577.682 35641.668 9736.384 49974.993
39569.016 8940.028 51630.643 31757.964 8895.404 44420.984
38672.392 8557.988 50302.316 36172.348 10663.08 51273.053
40800.56 5720.168 49521.055 24486.196 3178.6 30360.418
40389.62 9995.624 53590.372 16985.94 4095.36 23227.181
40595.052 9486.264 53256.527 19984.408 4795.3 26651.467
40945.74 10574.94 54625.701 35406.088 6837.024 46046.134
40894.88 10866.444 54975.548 37832.536 10473.704 51505.951
38401.252 8177.648 49720.635 43711.956 11240.98 59900.974
38772.252 8860.864 50707.657 26110.392 4770.26 33494.189
39468.012 9448.872 52024.966 27577.444 7348.864 38298.816
39465.42 9275.06 51874.925 33394.336 7686.096 44273.498
38976.916 8138.468 50268.556 41534.272 11641 58220.549
39775.948 9706.796 52620.013 18833.18 4557.9 25357.592
39798.244 9509.084 52454.099 19413.504 5762.22 27686.719
40325.42 10473.704 53991.85 54800.764 13693.172 74200.888
38101.54 8353.668 49528.955 42230.176 12540.148 60056.012
38909.156 8829.28 50941.491 48817.84 13139.304 67825.8
39210.952 4122.696 46476.419 19735.672 1479.604 24119.541
39611.02 8452.964 51167.342 45097.18 8562.012 58435.648
38491.812 8082.752 49774.975 37961.768 5627.884 47660.296
39629.532 9098.576 51875.801 14794.352 3876.54 20411.436
38715.956 8688.268 50537.863 46984.688 8298.724 60414.064
39587.712 9849.156 52726.571 58582.504 16492.544 80738.56
38698.964 7664.144 49444.473 40614.148 11628.064 57322.505
37218.904 7210.556 47525.954 35832.64 6024.224 46435.367
38550.776 7989.664 49671.735 28012.884 7695.992 39299.411
38974.876 7538.256 49663.985 34243.212 5291.82 43013.179
37565.884 6488.976 47165.603 51183.324 14204.54 71611.428
38061.864 7922.332 49160.299 47093.912 12258.844 64489.862
38211.356 7327.012 48670.453 33809.724 9332.58 47318.646
39144.388 8743.7 51073.81 24673.796 6351.688 33695.762
37330.328 6383.548 46875.721 50356.648 11070.744 68749.51
38383.46 8248.508 49806.205 23109.56 5899.352 32090.961
37392.884 6611.64 47049.697 43972.08 14292.008 64100.216
38312.84 6638.08 48073.175 23924.596 3811.284 31006.535
37981.204 7436.552 48470.244 36540.344 10114.112 50909.281
39614.456 9347.692 52130.242 42373.172 10990.684 57639.473
37824.084 7771.416 48823.358 35951.796 5879.22399999999 45840.385
39376.152 10499.316 52912.783 30742.836 8840.092 42759.213
36844.42 6320.72 46155.166 39320.804 11379.496 55563.551
37995.284 7970.692 49190.103 24680.876 4183.128 31688.767
37975.156 7735.916 48784.897 29877.62 8106.264 41974.583
37747.84 7719.752 48536.361 32897.524 5117.924 40933.028
35867.204 6571.93199999999 45157.024 25767.6 7491.96000000001 36351.486
37472.004 7540.516 48146.48 24051.716 6089.092 33244.518
38453.272 7826.352 49445.437 35441.896 9984.22000000001 50107.966
37981.344 8464.79599999999 49339.2 22915.196 6895.788 31939.062
35724.872 5327.216 44000.338 30224.368 4835.644 39026.618
37214.524 7279.42 47633.508 29501.796 8194.33199999999 41363.581
38294.792 7480.516 48977.676 34961.444 9820.664 49538.248
38135.52 7861.504 49110.376 31510.704 6404.38 42016.329
