"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
35.368 0.324 160.827 152.428 2.12 487.206
50.704 0.328 175.366 94.532 1.44 340.372
65.932 0.34 187.377 116.96 1.38 363.777
33.072 0.348 158.532 146.988 2.144 472.512
39.712 0.328 162.091 164.556 2.228 509.569
38.548 0.428 162.283 122.04 1.612 413.295
51.424 0.384 174.522 145.348 1.94 443.28
43.44 0.404 165.342 224.992 2.536 615.409
59.536 0.376 182.384 176.376 1.984 489.849
29.528 0.376 154.648 151.872 1.96 466.838
38.444 0.36 158.383 166.856 2.408 556.461
40.948 0.392 163.512 110.316 1.704 415.269
35.608 0.352 158.615 310.112 2.964 773.213
37.332 0.42 159.933 300.108 2.888 774.281
43.116 0.364 164.25 245.708 2.732 732.702
54.2 0.324 177.369 116.968 1.752 398.324
35.008 0.4 152.956 436.176 4.884 1153.691
29.408 0.356 152.752 178.84 2.08 509.522
25.844 0.396 146.723 161.216 2.12 498.257
18.684 0.376 140.675 120.992 1.904 431.234
18.204 0.32 132.616 160.52 2.248 560.931
36.496 0.324 155.111 265.168 3.396 800.629
41.58 0.4 162.679 246.26 3.128 770.609
45.312 0.348 162.456 201.636 2.596 627.018
51.34 0.384 166.484 279.816 3.1 774.95
37.376 0.312 161.11 304.66 4.088 926.868
29.048 0.336 143.437 209.26 2.644 654.804
31.912 0.424 151.32 213.204 2.84 625.414
29.032 0.332 141.677 113.484 1.492 370.874
36.064 0.32 156.267 153.62 1.872 449.787
51.804 0.428 168.951 148.784 2.036 474.517
47.448 0.444 171.349 118.492 1.832 418.125
40.192 0.396 147.797 117.06 1.692 365.74
42.252 0.404 160.332 148.02 2.02 447.476
41.816 0.34 160.825 212.72 2.7 609.844
45.944 0.348 158.043 121.084 1.756 408.337
44.868 0.383999999999999 160.331 157.148 1.904 458.671
29.012 0.424 145.518 129.972 1.972 440.178
36.4759999999999 0.324 151.324 183.708 2.612 592.205
34.4359999999999 0.34 148.135 183.432 2.288 535.641
40.2560000000001 0.388 153.814 125.172 1.88 419.139
34.9879999999999 0.367999999999999 153.529 182 2.604 575.74
58.112 0.396 176.168 269.952 3.292 743.837
29.544 0.383999999999999 142.528 88.064 1.84 366.973
34.752 0.364 153.719 199.54 2.348 563.408
20.284 0.36 135.411 242.716 2.676 655.683
28.668 0.42 145.444 107.432 1.8 421.3
18.308 0.428 133.122 165.056 2.18 563.65
33.296 0.316000000000001 111.92 155.764 1.992 428.712
22.6080000000001 0.303999999999999 138.686 192.532 2.748 601.284
38.8480000000001 0.412 145.734 189.904 2.812 605.679
35.916 0.372000000000001 152.099 300.672 3.32 802.408
21.88 0.348000000000001 129.7 156.324 2.088 462.998
29.8199999999999 0.316000000000001 124.73 131.924 2.028 425.711
