"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
1146.596 82.772 1366.592 2125.884 287.064 2736.163
1202.7 133.212 1483.116 2652.24 237.8 3290.08
1195.436 147.36 1496.226 2076.124 178.808 2605.545
1171.372 101.312 1407.607 1805.64 110.016 2201.733
1209.208 130.54 1480.097 3130.88 413.392 3985.423
1230.34 119.592 1484.675 2956.02 134.08 3502.669
1224.388 128.352 1487.832 1838.192 76.264 2173.564
1180.68 156.028 1473.832 2113.428 274.212 2736.921
1197.328 185.5 1524.391 2225.916 310.444 2887.482
1172.488 122.176 1433.205 3030.436 16.108 3424.862
1247.588 106.656 1497.745 2522.276 327.144 3253.568
1073.164 95.828 1313.519 3329.988 421.388 4268.024
1136.652 105.132 1380.447 4041.44 76.768 4631.11
1148.548 115.712 1399.082 3783.708 277.684 4561.268
1176.788 89.268 1404.44 4174.728 594.868 5313.856
1255.1 156.12 1552.22 3167.26 452.668 4042.372
1262.708 103.936 1506.104 3256.344 426.46 4143.943
1148.372 105.792 1397.363 4072.004 395.084 5012.092
1090.42 90.004 1313.502 2237.764 294.772 2884.575
1069.128 79.94 1280.747 3357.096 203.308 4035.592
1139.636 75.692 1353.728 3921.136 563.648 5056.239
1148.1 99.424 1380.601 3857.692 163.116 4529.922
1077.384 88.792 1301.453 4221.824 155.368 4910.51
1205.588 171.808 1512.047 3710.504 547.716 4772.886
1157.38 128.604 1417.084 3498.576 492.048 4447.271
1218.352 76.016 1430.136 4443.188 27.016 5044.841
1152.732 90.608 1382.205 4790.996 640.268 6071.262
1220.592 85.5600000000001 1449.802 2156.212 257.48 2732.277
1118.592 108.728 1359.79 3108.764 52.24 3572.705
1106.864 92.152 1330.337 1883.48 87.9880000000001 2288.43
1153.208 113.56 1399.225 2142.312 305.664 2765.374
1136.664 127.768 1398.394 2464.528 254.332 3090.17
1127.344 101.144 1358.91 2120.96 296.696 2749.093
1188.452 162.356 1489.931 2587.556 269.388 3195.221
1254.384 178.084 1568.634 2348.1 336.444 3039.357
1211.504 186.508 1539.388 3102.272 163.64 3683.548
1082.72 85.308 1300.212 2177.044 273.992 2759.047
1076.46 83.9399999999999 1309.567 2404.672 82.3480000000001 2820.011
1198.86 111.524 1456.35 2757 124.412 3286.674
1210.176 119.012 1471.251 3591.708 551.68 4564.116
1172.932 80.9880000000001 1390.412 3158.476 405.508 4004.354
1118.228 83.016 1339.932 4703.824 25.104 5238.339
1108.784 144.432 1389.567 2972.064 393.308 3733.649
1141.736 105.184 1389.505 1944.2 269.196 2514.415
1163.928 102.04 1411.294 4443.044 115.924 5072.705
1086.672 70.284 1297.573 2200.284 95.6519999999999 2622.233
1040.788 67.9760000000001 1247.279 2224.752 221.776 2789.663
1116.668 97.12 1351.49 3991.524 565.352 5098.166
1073.368 97.672 1290.003 2607 244.984 3179.639
985.843999999999 89.252 1183.526 3066.7 294.312 3707.112
1094.996 71.848 1296.794 2935.892 403.168 3729.516
1066.116 122.448 1304.212 2483.812 155.36 2942.22
956.288 97.644 1161.757 2159.284 300.64 2745.867
1014.028 73.936 1199.864 2280.328 107.644 2698.434
