"V1" "V2" "V3"
1.2575 0.575 3.25
2.505 0.575 3.25
3.7525 0.575 3.25
1.2575 1.05 3.25
2.505 1.05 3.25
3.7525 1.05 3.25
1.2575 1.525 3.25
2.505 1.525 3.25
3.7525 1.525 3.25
1.2575 0.575 5.5
2.505 0.575 5.5
3.7525 0.575 5.5
1.2575 1.05 5.5
2.505 1.05 5.5
3.7525 1.05 5.5
1.2575 1.525 5.5
2.505 1.525 5.5
3.7525 1.525 5.5
1.2575 0.575 7.75
2.505 0.575 7.75
3.7525 0.575 7.75
1.2575 1.05 7.75
2.505 1.05 7.75
3.7525 1.05 7.75
1.2575 1.525 7.75
2.505 1.525 7.75
3.7525 1.525 7.75
1.2575 0.575 3.25
2.505 0.575 3.25
3.7525 0.575 3.25
1.2575 1.05 3.25
2.505 1.05 3.25
3.7525 1.05 3.25
1.2575 1.525 3.25
2.505 1.525 3.25
3.7525 1.525 3.25
1.2575 0.575 5.5
2.505 0.575 5.5
3.7525 0.575 5.5
1.2575 1.05 5.5
2.505 1.05 5.5
3.7525 1.05 5.5
1.2575 1.525 5.5
2.505 1.525 5.5
3.7525 1.525 5.5
1.2575 0.575 7.75
2.505 0.575 7.75
3.7525 0.575 7.75
1.2575 1.05 7.75
2.505 1.05 7.75
3.7525 1.05 7.75
1.2575 1.525 7.75
2.505 1.525 7.75
3.7525 1.525 7.75
