"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
39.484 0.624 188.111 181.28 3.76 578.468
54.82 0.712 198.563 155.328 3.7 556.022
41.608 0.688 191.792 124.48 3.22 474.102
41.208 0.652 187.182 199.428 4.392 638.689
41.472 0.604 189.944 211.332 4.812 715.335
40.544 0.788 187.938 252.916 4.444 716.169
49.832 0.696 191.851 225.188 4.352 653.109
42.284 0.724 189.153 143.988 3.296 489.177
43.764 0.616 192.726 173.004 4.384 614.944
40.46 0.668 187.02 107.336 3.048 415.479
54.852 0.74 199.539 168.216 4.06 636.602
43.464 0.644 193.653 89.22 3.256 441.957
41.472 0.644 188.048 249.404 4.372 683.343
48.616 0.748 197.52 164.796 3.62 551.228
46.192 0.7 189.688 184.892 4.152 620.031
45.188 0.7 194.828 139.24 3.34 483.936
36.24 0.659999999999999 177.263 182.704 4.108 601.111
39.396 0.692 187.68 141.404 3.404 501.143
39.396 0.592 186.417 137.156 3.412 500.776
41.052 0.640000000000001 184.911 191.472 4.5 673.102
42.232 0.635999999999999 180.523 174.324 3.792 609.587
42.116 0.568000000000001 179.432 122.824 3.164 465.852
58.068 0.536 201.165 92.46 3.192 421.035
40.172 0.640000000000001 184.608 102.964 2.884 428.415
42.184 0.58 189.88 238.096 4.208 690.303
43.776 0.604 188.429 204.536 4.232 684.954
39.312 0.584 180.649 132.572 2.86 454.422
52.752 0.616 198.547 181.184 4.192 600.218
43.956 0.632 179.055 150.012 3.708 542.981
42.012 0.616 192.445 128.864 3.86 527.866
50.656 0.616 191.424 99.56 2.72 388.675
40.52 0.62 188.352 152.32 3.312 512.307
38.36 0.608000000000001 179.568 199.996 3.772 593.723
58.384 0.632 200.013 154.916 3.472 504.614
62.412 0.683999999999999 209.718 191.228 3.776 568.75
38.668 0.672000000000001 173.761 176.144 3.876 570.468
54.764 0.616 198.051 233.972 3.696 606.246
47.924 0.604000000000001 188.048 124.024 3.32 459.679
43.96 0.596 188.688 155.628 3.544 554.32
39.908 0.620000000000001 182.27 249.908 4.492 721.734
32.288 0.603999999999999 172.539 102.324 2.796 390.03
42.672 0.6 189.059 197.764 3.632 595.278
48.636 0.648 191.341 167.184 3.3 502.348
34.016 0.612 177.268 170.608 3.616 553.341
38.276 0.564 183.737 299.984 5.296 830.684
44.764 0.591999999999999 190.655 131.16 3.54 515.813
51.08 0.584 196.116 179.34 3.624 609.13
44.224 0.628 183.164 114.604 3.296 488.875
32.84 0.428000000000001 129.715 100.352 2.836 381.053
27.568 0.540000000000001 139.578 123.068 2.6 389.059
36.1559999999999 0.527999999999999 153.763 125.404 2.852 419.983
30.98 0.475999999999999 127.704 130.264 2.68 390.221
26.772 0.488000000000001 124.8 105.304 2.332 341.588
20.112 0.48 121.03 123.892 3.176 444.668
