"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
168.628 0.352 326.071 753.528 3.048 1528.065
182.828 0.34 336.972999999998 814.28 3.336 1764.971
209.244 0.36 365.400000000001 1289.068 4.684 2748.353
190.812 0.372 348.399000000001 863.004 3.4 2066.376
218.64 0.384 375.668999999998 1061.388 4.876 2323.201
161 0.34 322.948 1047.656 4.148 2247.462
213.088 0.44 368.898000000001 864.764 3.596 2147.042
177.936 0.4 340.421999999999 497.368 2.152 1398.582
184.828 0.368 341.540000000001 834.404 3.668 1695.421
165.032 0.336 328.507000000001 718.396 2.72 1440.589
189.176 0.388 349.921000000002 1000.6 3.436 2102.508
170.332 0.368 331.416000000001 833.94 3.244 2080.723
172.608 0.42 333.966 664.464 2.64 1391.362
156.552 0.368 318.061999999998 806.024 3.272 1729.076
290.416 0.352 446.011000000002 714.068 3.032 1861.826
173.596 0.336 335.953000000001 927.78 3.436 2358.293
168.176 0.392 320.510999999999 542.576 2.548 1222.136
172.872 0.404 327.999 896.68 3.232 1767.65
226.86 0.32 383.846000000001 689.356 2.64 1606.922
257.532 0.356 413.151999999998 951.844 3.484 2174.014
192.724 0.396 343.902000000002 770.372 3.348 1691.954
285.82 0.44 441.987999999998 863.276 2.976 1749.561
236.236 0.4 394.888999999999 672.74 2.976 1660.992
183.168 0.388 336.692999999999 632.812 2.768 1830.415
177.46 0.352 331.312000000002 818.148 3.564 1639.076
162.336 0.36 318.455999999998 972.38 3.92 1973.102
223.384 0.396 381.033000000003 549.004 2.552 1357.178
190.512 0.396 343.191999999999 766.352 3.016 1767.902
199.52 0.376 356.086000000003 646.832 3.048 1418.472
156.184 0.336 310.822 913.748 3.584 1937.146
179.22 0.368 336.609 780.988 3.544 1845.557
193.172 0.404 346.438999999998 525.46 2.572 1454.846
