"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
28.008 0.28 131.167 141.208 1.812 512.782
39.352 0.228 148.446 93.528 1.372 411.472
25.82 0.268 124.898 303.372 2.976 898.691
37.432 0.208 144.307 253.716 2.872 825.665
29.296 0.204 127.52 184.044 2.288 682.778
36.356 0.244 142.885 210.872 2.356 746.336
43.788 0.244 145.463 185.768 2.364 689.47
38.28 0.224 139.553 203.352 2.292 770.573
34.792 0.264 140.089 121.98 2.048 579.399
39.84 0.264 140.446 150.496 1.972 505.512
32.724 0.224 141.025 137.168 1.72 513.786
26.356 0.256 134.241 171.012 2.416 637.455
37.116 0.26 145.439 169.884 2.14 607.557
26.808 0.236 131.089 200.128 2.552 750.837
23.072 0.288 128.515 153.524 2.184 618.66
25.908 0.224 128.796 310.8 3.644 1085.648
26.512 0.208 128.364 227.672 2.796 871.824
22.416 0.216 120.722 207.54 2.86 818.947
29.048 0.288 127.409 197.692 2.328 648.745
31.188 0.268 124.108 126.812 1.776 463.649
29.132 0.256 130.741 163.696 2.28 635.948
45.544 0.248 144.523 210.668 2.456 731.989
41.584 0.244 144.672 184.62 2.408 677.288
22.432 0.232 123.465 222.964 2.588 822.69
25.928 0.248 128.623 221.732 2.672 778.101
34.288 0.244 133.719 181.86 2.276 688.179
29.456 0.272 127.651 222.772 2.492 781.742
47.044 0.248 147.25 196.008 2.288 632.09
44.236 0.256 144.71 96.508 1.696 463.734
31.888 0.256 132.326 215.496 2.96 817.444
26.9 0.256 122.972 206.732 2.82 772.497
39.056 0.292 138.063 233.916 2.724 816.56
39.932 0.264 139.788 195.68 2.408 688.421
28.92 0.244 126.634 157.544 2.356 688.1
35.024 0.276 137.1 149.556 1.748 556.509
22.504 0.272 126.168 157.3 1.936 638.765
28.916 0.312 131.261 136.516 2.156 536.765
29.244 0.292 129.229 206.272 2.728 715.998
30.088 0.28 135.566 162.184 2.184 576.935
31.596 0.228 129.986 116.452 1.864 527.354
25.66 0.272 126.298 164.132 2.136 611.841
23.672 0.268 124.803 220.464 2.852 802.764
24.888 0.224 124.898 103.204 2.08 539.875
27.276 0.22 123.37 160.292 2.228 678.034
26.708 0.288 129.08 208.872 2.68 803.13
34.664 0.24 135.287 184.012 2.512 644.708
29.036 0.268 131.717 218.38 2.484 708.356
41.3 0.26 143.212 173.388 1.988 568.07
32.38 0.236 137.697 143.464 1.924 489.928
39.312 0.244 134.325 149.904 1.816 517.122
27.072 0.236 127.082 155.66 1.764 515.588
25.532 0.292 123.818 172.616 2.236 607.069
26.256 0.216 120.081 182.14 2.14 639.8
23.992 0.252 117.971 128.524 1.764 492.34
