"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
390.6 16.088 533.316 2160.604 101.592 2802.077
389.252 13.928 532.039 1719.364 82.988 2262.269
388.036 13.72 536.576 2452.336 99.496 3151.267
383.092 17.336 534.5 5382.28 213.252 6348.942
396.748 15.284 547.227 2906.464 120.644 3707.925
387.256 15.328 530.517 1709.968 76.58 2260.18
388.74 16.16 527.98 7593.896 251.608 8786.629
383.832 15.164 526.619 2637.308 103.604 3431.563
372.484 13.308 515.05 3196.948 137.472 4044.444
369.096 13.372 508.743 1489.384 70.152 1971.367
374.84 13.952 515.269 1622.012 71.964 2184.515
398.452 14.004 537.743 3646.104 144.276 4494.732
396.768 14.96 533.769 4006.544 176.932 4914.319
367.44 16.12 510.137 2047.456 88.996 2690.414
405.4 16.78 551.251 6687.992 259.544 7905.59
387.908 16.848 531.333 2285.868 102.828 3061.636
348.024 14.228 472.343 2064.764 95.584 2810.167
354.992 12.708 489.963 2852.776 127.508 3719.058
361.424 13.728 485.895 3460.888 156.52 4274.765
355.336 15.052 479.97 2089.256 99.88 2727.393
395.644 14.1 517.523 1806.924 72.888 2411.294
383.248 16.02 517.483 2225.256 100.176 2898.953
395.424 13.76 521.179 3645.12 169.108 4629.239
382.552 15.464 520.693 2930.872 133.92 3808.743
378.064 14.54 509.166 3166.12 137.944 4022.3
361.412 13.78 494.531000000001 3191.88 139.924 4074.788
334.936 14.6 457.398 2103.72 93.428 2796.989
365.56 15.504 501.615 1327.876 50.3 1763.74
355.312 15.028 484.884 3880.456 150.764 4690.321
356.796 15.58 492.035000000002 3842.496 169.796 4644.328
364.484 14.104 500.989 3899.596 165.148 4821.303
363.16 13.512 489.800999999999 1596.94 67.168 2150.943
386.292 14.096 516.888999999999 1917.144 80.924 2458.377
357.336 15.964 483.509 2280.576 99.196 2896.535
382.748 14.976 523.348999999998 2378.18 104.8 3124.337
355.448 14.964 486.423000000001 3228.308 135.504 3991.31
362.688 13.608 487.285 1568.616 72.132 2059.335
359.432 13.948 491.635 1502.212 67.496 2035.818
345.812 13.28 469.252999999999 4280.76 201.428 5208.798
363.972 14.86 484.757 1330.924 65.276 1826.637
339.172 14.124 463.004999999999 2277.768 110.16 2962.377
352.452 15.632 477.282000000001 2112.82 97.248 2783.153
320.216 14.452 440.277 2097.236 99.072 2744.789
355.892 13.248 478.364 2588.036 120.216 3291.822
350.4 15.572 480.093999999999 1713.956 72.06 2318.784
339.98 13.64 464.389999999999 2382.544 116.408 3010.783
336.648 14.58 461.959000000001 2359.244 114.928 3000.539
337.868 15.236 465.170999999998 3542.58 154.116 4233.43
360.832 10.82 482.020999999999 1206.724 55.104 1670.338
338.592 13.66 459.858 1929.012 92.588 2475.176
347.944 13.392 466.589 2722.664 119.144 3338.925
351.432 13.92 469.401 2061.016 92.232 2613.031
366.964 14.356 489.826999999999 1750.544 76.656 2303.586
350.288 13.168 469.826000000001 1363.76 62.78 1827.361
