"t_split_1" "theta" "rho" "M"
1.96476006311148 3.75902337230629 3.8489762790275 0.736119684807941
3.16883039527942 4.01246255104539 4.47526863058499 0.735862195388513
1.66749910230809 6.65307293533005 3.84277606120384 0.703213601979746
3.50523126995528 6.84560530108689 3.44143715109165 0.751734157418468
1.50936274130053 4.11366623040041 8.09808884838027 0.697410529760117
5 3.87057120675064 7.67438624676178 0.781024223518222
1.88666893843431 7.05812793778688 7.22211310562057 0.732638083198596
3.86589394660101 6.86655746263736 7.88957676280504 0.641981038109134
1.6328435793162 4.11225822657066 3.76355773108083 1.50170056194298
3.0753530137998 3.95220001683621 3.33157727463395 1.4688153357489
1.49406642317062 7.03151551522745 3.75513136066608 1.34038649656317
5 7.11602380585503 4.45021235350324 1.58842795308838
1.34444911782178 4.28752222158768 6.61297207054579 1.38798149387371
2.39572030393712 3.88262283825271 6.67853744752592 1.28955571402142
1.60812871390672 7.1124133945992 7.49258500844684 1.31029562577937
4.17273446339426 7.12845860633495 7.14865575299153 1.44860741854411
1.65280018373737 4.10434218716361 4.33884218412678 0.793727126116873
5 3.84679448289571 4.61199475772813 0.812628135052206
1.5088266120528 7.23020619958839 4.57529787305443 0.723719533844405
2.85524069498865 7.14203237241393 4.135098056769 0.782144297370576
1.92300386987201 3.9578075260874 7.09660116462675 0.745097038457567
3.02654385863874 3.8456351359284 7.07013250777306 0.733732935903494
1.98932376075533 6.62857792116936 6.71396030192168 0.758915766084474
4.13556178613052 7.11910083107479 6.8371494767154 0.697408329588868
1.66202685233345 4.0683893220406 3.86548765773239 1.35730038229641
4.46487838368144 4.08011738497749 3.95239482481359 1.40802443378247
1.69374070478534 6.85383876456954 3.7317997630458 1.28256035394797
4.36811877454676 6.74450499139946 4.12219310229651 1.26487469143708
1.56963304599668 3.98961936718803 7.6977957150913 1.29077662782109
4.74920416949231 4.02058484064659 7.31040263717787 1.43331314489692
1.33133397389907 7.25301962272866 6.96706399592418 1.43113207913442
4.27139488786668 7.17943596223897 8.50790202327052 1.4352374989203
1.88129134781963 3.96175990496326 4.58089519111982 0.762978787760799
3.71982720054439 4.02268628985718 3.4147296712744 0.749794656896514
1.78419629919656 7.01501990168221 3.81567349247176 0.764549172956445
2.86249563693456 6.80038078572679 3.59100217730548 0.651102771379224
1.7775355712346 4.05910236236181 7.03926559622842 0.707514991023471
3.3312867558593 3.94450923001055 6.95738752147081 0.776980107424669
1.59354946961556 7.0264534805275 7.37735503209203 0.747911611146699
3.41495048926896 6.90230605456746 7.89066993030197 0.669514210809179
1.43773311642186 4.17736090350794 4.50241487868703 1.39737271438032
5 4.09232009350539 4.95301042331934 1.59839399806682
1.76233421598227 7.06593581143198 3.41452481671072 1.28817900968624
4.29183730208791 7.34321335328157 4.32714102428926 1.8188201097542
1.48645475477793 4.02241130758955 7.40007030422902 1.42842634115736
2.22389853378394 4.1571227893282 6.68474769860394 1.25844281364432
1.4437740399815 6.93793256632354 7.17633943380583 1.35244566965661
5 7.05534229972828 6.89018753780654 1.2504365709295
