"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
224.708 0.352 3029.336 1134.764 4.024 22732.595
208.992 0.304 3082.293 908.516 3.048 18115.55
222.088 0.344 3033.836 1449.22 4.724 21912.775
201.048 0.384 3012.084 968.58 3.236 19091.112
227.308 0.464 3045.535 1196.08 4.044 28382.196
273.352 0.376 3080.806 908.692 3.032 25810.706
211.528 0.4 3048.02 584.96 2.252 19885.497
197.472 0.356 3050.739 1306.92 3.876 35552.039
195.168 0.388 2960.974 864.84 2.824 14962.016
179.164 0.396 2988.063 1028.128 3.616 20028.491
201.092 0.356 3060.078 795 2.748 14188.858
211.832 0.348 3050.732 629.676 2.068 12364.525
175.484 0.376 3020.232 1003.792 3.18 27175.298
197.328 0.352 2965.143 1506.064 4.544 37578.92
195.552 0.36 3015.273 660.996 2.44 17570.657
167.004 0.316 3003.438 830.168 2.932 26434.282
226.416 0.388 3075.796 846.452 3.604 17856.064
229.556 0.464 3083.947 832.428 3.224 16400.765
257.012 0.424 3170.852 952.048 3.584 19269.563
258.916 0.524 3075.511 871.892 3.1 14928.091
224.924 0.46 3077.743 861.5 3.192 25908.32
223.644 0.384 3080.916 730.508 2.72 23457.226
234.532 0.408 3092.249 1157.948 3.644 28236.021
216.652 0.408 3079.97900000001 1039.62 3.62 31217.401
230.672 0.404 3112.13200000001 699.304 2.588 12873.509
236.112 0.384 3104.727 1362.54 4.58 22448.43
218.12 0.372 3042.651 1187.832 3.904 19122.874
217.804 0.412 3097.97199999999 990.652 3.404 19152.844
231.12 0.416 3150.507 1247.52 4.084 29588.995
238.996 0.428 3125.981 1092.352 3.568 28863.847
227.728 0.424 3119.657 954.6 3.196 23522.666
251 0.42 3125.702 956.604 3.208 26950.818
209.64 0.408 3144.943 1070.776 4.06 23080.622
216.412 0.396 3089.91 1068.236 3.676 20366.666
239.176 0.384 3097.22 885.828 2.872 14935.878
243.984 0.444 3125.238 860.388 3.096 16411.6
221.448 0.416 3101.88300000001 602.228 2.488 20927.352
225.692 0.4 3143.879 890.632 3.136 27324.378
285.168 0.4 3124.66499999999 717.292 2.78 22281.119
255.388 0.42 3116.436 710.988 2.432 19967.079
216.196 0.312 3075.986 571.756 2.564 13069.444
224.88 0.472 3063.344 1127.66 3.52 20933.89
250.388 0.432 3124.444 721.62 2.88 14373.428
242.784 0.416 3113.906 996.18 3.548 16750.199
220.208 0.392 3069.63499999999 683.452 3.016 19141.46
197.044 0.444 3152.47 1019.188 4.136 25781.235
196.928 0.392 3095.60799999999 830.816 3.404 20122.177
194.648 0.392 3064.019 813.668 3.26 20161.836
