"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
173.812 0.6 259.931 823.264 4.824 1348.395
174.248 0.532 261.713 663.164 3.724 1090.131
206.044 0.56 291.524000000001 656.104 4.16 1346.261
177.212 0.54 258.478999999999 764.94 4.008 1575.515
179.024 0.548 267.234999999999 659.456 4.168 1159.061
186.312 0.604 267.800000000001 714.732 4.128 1328.222
192.556 0.584 281.502 716.872 4.024 1434.879
186.964 0.588 273.944 746.984 4.232 1610.086
157.5 0.552 240.549000000001 789.732 5.028 1327.892
165.592 0.536 250.744999999999 538.324 3.868 990.718999999999
178.948 0.648 265.788 508.66 3.116 1000.134
150.972 0.584 233.536 855.96 4.052 1595.425
169.44 0.556 255.469999999999 641.54 4.18 1145.231
156.78 0.588 240.196 1074.776 5.604 1832.933
217.552 0.516 302.323 352.724 2.644 819.468999999999
147.032 0.556 231.691999999999 1317.968 6.02 2544.841
181.492 0.588 267.464 843.62 5.052 1371.396
194.648 0.568 282.891 688.536 4.296 1182.051
189.328 0.508 274.191999999999 919.572 5.068 1685.481
182.48 0.568 267.796 699.6 4.24 1512.624
179.492 0.576 266.897999999999 736.132 4.372 1252.127
186.344 0.552 273.449999999999 625.42 4.348 1209.495
196.248 0.604 285.219999999999 761.656 4.548 1544.931
184.684 0.62 268.024000000001 897.78 4.888 1947.058
170.032 0.58 255.723 622.664 4.376 1091.069
154.84 0.608 235.708000000001 601.764 4.008 1012.604
175.648 0.576 260.370999999999 723.404 4.144 1347.385
167.604 0.56 250.066999999999 930.028 5.08 1775.949
169.856 0.564 254.509 912.812 5.968 1580.005
202.384 0.552 291.84 710.652 4.42 1261.869
169.688 0.628 254.095000000001 732.296 4.832 1498.482
175.128 0.512 262.061000000002 693.996 3.844 1472.175
177.052 0.548 264.742999999999 950.768 5.724 1494.113
192.732 0.568 278.759999999998 837.752 5.16 1424.45
235.652 0.62 322.946 710.272 4.312 1353.816
187.62 0.648 274.111000000001 486.644 3.26 1108.31
230.26 0.552 315.252 536.516 3.676 994.371999999999
173.22 0.584 256.975999999999 903.12 5.36 1622.183
192.748 0.652 277.93 879.08 5.856 1749.356
171.516 0.576 257.361000000001 854.604 5.048 1734.275
146.908 0.556 229.512999999999 603.484 3.78 1008.097
165.972 0.54 250.394 935.832 5.472 1516.886
189.016 0.6 272.329000000002 572.888 3.572 1096.177
182.768 0.58 267.823999999997 847.936 4.944 1579.087
184.548 0.624 266.592999999997 509.58 3.26 895.27
154.844 0.544 237.805 728.608 4.188 1260.83
174.44 0.6 259.481 816.272 5.308 1558.282
169.368 0.584 253.474000000002 677.264 4.252 1323.542
