"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
173.5 0.564 12040.826 1026.208 5.836 65564.9
184.904 0.52 12030.733 638.004 3.928 47744.422
203.152 0.66 12038.105 600.704 3.536 46025.546
191.68 0.556 12056.789 1314.24 5.768 70873.426
194.14 0.632 12034.223 842.696 4.636 62196.522
178.252 0.632 12029.989 649.004 4.348 60299.065
195.032 0.568 12070.48 814.872 4.66 60310.829
233.2 0.612 12092.211 845.792 5.316 66758.923
178.728 0.564 11993.339 878.608 5 56447.653
205.476 0.64 12084.422 750.284 4.564 53454.18
227.916 0.568 12097.265 1158.604 5.68 69113.076
178.596 0.64 12029.973 858.516 4.28 50284.369
171.988 0.572 12042.997 617.568 4.016 54126.487
275.128 0.644 12146.469 965.384 5.488 75586.732
176.912 0.58 12072.94 723.956 4.224 55433.348
156.772 0.576 12076.679 582.652 3.708 49606.06
219.592 0.676 11598.923 734.1 4.668 55210.095
222.316 0.664 11719.767 1034.108 5.7 65096.53
254.232 0.68 11779.836 1396.184 6.692 76747.703
288.4 0.724 11755.302 853.792 4.696 61846.539
262.892 0.68 11786.748 688.636 4.772 56815.918
248.488 0.704 11736.765 605.016 4.204 56290.21
228.512 0.7 11756.72 1242.904 6.356 77725.73
223.72 0.664 11681.065 742.944 4.284 58861.903
256.188 0.608 11720.052 904.08 5.572 58263.719
195.672 0.656 11672.134 949.58 5.096 60525.691
211.892 0.616 11730.363 1009.52 4.864 56995.357
226.808 0.6 11684.719 1475.952 6.6 81018.363
221.092 0.704 11727.43 599.428 3.512 47625.715
265.64 0.632 11794.81 1096.52 6.14 77722.937
200.78 0.712 11630.168 633.248 3.6 47886.364
182.46 0.668 11572.389 801.808 4.728 61807.042
274.244 0.684 11696.956 820.524 5.564 63369.224
204.788 0.636 11696.493 727.896 4.676 53297.595
243.188 0.74 11777.301 1181.712 5.76 63208.635
224.952 0.692 11767.067 794.292 4.852 58638.063
247.132 0.68 11806.418 811.32 4.632 57685.157
283.592 0.652 11814.121 772.64 4.168 54723.874
274.532 0.652 11728.321 744.64 4.22 53780.247
205.336 0.676 11757.111 739.872 4.056 55250.537
185.424 0.632 11716.493 770.9 4.524 50869.587
198.396 0.676 11686.043 1213.124 6.136 65018.801
227.44 0.648 11710.295 1028.044 5.472 57304.808
203.416 0.588 11648.493 736.076 4.136 48544.944
214.484 0.736 11619.758 763.776 4.648 58243.98
211.716 0.688 11668.996 797.016 4.988 60959.715
218.788 0.724 11710.644 782.476 6.16 65511.818
209.728 0.684 11646.841 706.588 4.232 49691.203
