"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
253.276 1.564 808.978000000003 897.816 8.864 2595.37999999995
258.06 1.584 817.866000000038 1339.94 12.488 5183.39599999995
324.436 1.64 862.224999999977 1424.932 12.312 3866.10200000001
264.236 1.604 823.024000000034 1429.968 12.952 4821.217
335.6 1.66 878.024000000034 762.204 8.856 2931.179
302.064 1.572 848.24099999998 1770.484 16.816 7156.75199999998
347.84 1.696 903.845999999961 1155.844 11.616 3443.61900000001
320.156 1.556 858.771999999997 1043.92 10.552 3968.08500000002
285.84 1.676 833.609999999986 1096.176 11.368 3836.196
250.104 1.588 804.778000000049 1356.776 11.856 5991.19800000003
263.2 1.576 823.626999999979 1001.816 10.376 3457.92200000002
297.68 1.572 858.869000000006 900.952 8.904 3902.277
273.992 1.624 832.787000000011 940.304 9.408 3139.125
306.824 1.608 871.245999999985 1146.816 10.204 4752.587
285.852 1.628 829.665999999968 1486.304 14.14 4566.69099999999
358.292 1.676 907.712999999989 1486.768 13.444 5441.55099999998
292.008 1.672 884.890999999945 1643.204 14.396 5429.01399999997
276 1.632 857.033999999985 2239.388 15.512 7693.40099999995
321.52 1.648 905.441999999981 1187.22 12.524 4071.429
328.152 1.668 923.873000000021 1832.708 14.324 5415.07299999997
299.56 1.648 868.114999999991 1120.068 10.848 3239.07699999999
272.724 1.688 846.349999999977 1898.06 15.928 7895.68599999999
327.464 1.68 910.194000000018 1452.396 14.716 4777.03699999995
314.364 1.652 891.324000000022 1315.42 11.9 4466.446
282.612 1.76 830.091000000015 1659.716 15 6161.46300000005
264.796 1.652 842.548999999999 1277.96 10.58 5979.10999999999
310.676 1.748 878.29700000002 1173.608 11.048 3995.71900000004
271.06 1.74 855.382000000041 1599.756 13.728 6415.37400000001
308.904 1.696 885.560999999987 1469.72 14.22 5502.098
313.984 1.688 900.009999999951 2417.196 19.58 10589.557
295.868 1.612 891.382999999973 1312.18 13.384 4618.58500000002
378.208 1.62 966.300000000047 1268.836 11.84 4931.26500000001
272.864 1.592 859.741999999969 1281.58 11.872 3813.087
301.576 1.616 883.801000000036 1409.376 11.444 5011.87200000003
315.864 1.752 909.201000000001 1027.452 10.98 3160.04800000001
364.456 1.768 933.072999999975 1680.216 15.244 5733.00700000004
353.976 1.64 923.329999999958 1278.552 12.08 3820.08199999999
305.488 1.692 881.857000000018 1202.66 11.612 4738.10900000005
352.88 1.684 926.315000000002 1169.624 10.92 3016.43300000002
323.008 1.588 907.27899999998 1047.692 10.72 4104.94500000001
289.556 1.672 874.878000000026 1004.464 10.26 3822.35700000002
273.964 1.628 856.977000000014 1165.576 11.088 5519.33299999998
308.524 1.748 895.281000000017 1957.876 16.792 6376.57000000001
291.632 1.62 870.612000000023 855.596 8.992 3954.41200000001
303.172 1.744 865.806999999972 1429.048 12.432 4922.31899999996
335.38 1.688 917.152000000002 1259.516 11.488 5124.75
359.672 1.704 928.539999999979 1339.208 13.344 4004.375
342.008 1.792 927.806999999972 1163.428 11.224 4551.67300000001
263.2 1.756 853.403000000049 1388.76 12.288 4752.88899999997
273.1 1.68 844.483000000007 1600.684 13.94 7886.658
312.224 1.684 893.651000000013 1707.16 15.244 5470.08499999996
295 1.708 896.967000000004 1811.688 14.704 6402.72099999996
280.876 1.672 855.817000000039 1942.904 15.368 5904.23199999996
268.36 1.66 854.149999999965 1090.46 10.844 4931.17300000001
348.524 1.68 926.885999999999 1287.548 11.7 4070.49199999997
321.304 1.724 903.784000000043 1856.384 16.772 6990.31099999999
261.884 1.628 839.244999999995 1474.616 12.976 5627.90899999999
258.112 1.496 840.348999999987 1340.344 11.532 6489.79999999999
303.668 1.78 876.893999999971 1404.72 13.544 5433.58400000003
288.736 1.636 872.584000000032 1283.224 11.828 5955.30699999997
301.912 1.668 892.167999999947 965.472 9.996 3886.875
274.56 1.684 840.706999999995 1593.012 13.924 7407.34000000003
335.44 1.628 901.061999999976 1028.016 9.692 3354.35399999999
338.044 1.708 905.700000000012 1387.208 12.168 5389.37099999998
