"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
3491.7 80.852 4157.14900000003 12665.86 368.148 14797.149
3619.8 82.68 4292.31 15407.592 425.896 19008.16
3359.644 77.824 4008.39999999997 10941.352 307.592 12948.775
3658.396 84.26 4351.15700000001 18192.744 499.724 21999.91
3566.8 83.776 4219.61100000003 15870.456 462.264 19553.391
3511.444 72.724 4159.50100000005 22392.828 637.568 27762.983
3519.94 80.54 4177.25999999995 14065.712 419.752 16355.835
3498.376 81.1 4172.68700000003 17395.088 490.436 21547.241
3547.48 80.96 4237.42000000004 15752.344 452.34 18796.088
3634.336 91.044 4320.81699999998 21491.064 562.604 27042.676
3504.252 87.504 4166.30900000001 16985.188 463.576 20602.772
3499.608 77.508 4178.74400000001 23301.472 644.744 29277.275
3494.164 81.556 4179.54499999998 14289.1 397.568 17386.677
3535.2 73.008 4187.97699999996 20962.436 613.528 26639.804
3644.968 80.892 4326.48200000002 10947.736 329.808 13507.195
3721.516 88.72 4406.25400000002 25993.664 754.096 31954.33
3420.268 83.244 4067.94300000003 19559.62 569.764 23512.208
3565.308 80.024 4229.31300000002 28919.832 752.968 35926.804
3639.764 94.884 4329.614 13206.284 390.816 15481.241
3622.164 85.816 4298.89199999999 22374.624 576.172 26394.657
3408.984 80.96 4063.75900000002 19477.4 552.896 23137.015
3634.456 74.884 4293.66499999998 15639.116 442.732 19916.511
3599.528 88.712 4278.49800000002 21067.78 637.072 25447.147
3524.208 74.964 4166.28400000004 13111.608 384.9 16459.811
3213.012 85.072 3854.29699999996 25463.836 700.056 31211.772
3379.328 89.7 4093.17499999999 17265.704 496.884 22694.764
3652.38 77.856 4314.11300000001 30899.752 742.82 36361.535
3456.216 87.536 4125.81199999998 17419.88 450 21334.536
3429.508 79.972 4084.91599999997 12802.176 376.492 16244.798
3451.832 84.884 4151.60699999996 23945.188 686.376 30776.369
3362.208 75.988 4036.52400000003 9316.968 283.548 11727.344
3326.74 85.448 3985.11499999999 14200.54 431.988 18590.003
3531.976 84.248 4192.79000000004 14848.712 446.48 17751.696
3487.732 88.696 4186.08100000001 16730.24 494.056 20687.801
3618.9 86.464 4305.46500000003 16759.696 467.128 19166.513
3459.52 84.604 4126.97099999996 9690.244 286.328 11962.673
3823.556 83.232 4500.18599999999 10790.136 337.288 13580.382
3549.3 86.644 4222.39400000003 8962.872 241.488 11629.71
3603.244 85.816 4283.21799999999 14802.34 444.732 17485.077
3547.352 88.54 4223.51699999999 16014.752 476.884 19711.255
3612.576 87.076 4309.00799999997 19917 592.732 24265.913
3650.072 91.236 4356.32500000001 23102.604 668.016 30517.059
3683.98 87.144 4372.29099999997 13480.272 418.012 16577.384
3933.424 94.332 4656.54600000003 16413.74 488 20766.997
3377.296 77.104 4030.75900000002 11861.016 361.988 15270.751
3330.176 89.684 4003.90399999998 11686.112 331.584 15042.61
3537.564 87.248 4214.90100000001 15009.264 457.552 18131.458
3422.224 90.996 4113.48200000002 24112.836 711.26 30099.175
3443.388 77.224 4092.91199999995 17393.636 467.984 21058.973
3573.044 85.304 4226.81700000004 22963.74 663.6 29415.513
3744.452 83.364 4411.01300000004 16902.076 507.776 19934.865
3434.236 85.308 4121.73700000002 25216.316 764.112 30915.258
3487.004 89.756 4150.967 19434.728 583.372 24025.87
3576.764 77.328 4230.967 19188.44 566.956 24944.891
3707.108 90.192 4382.01999999996 21008.464 642.248 26406.062
3504.344 89.8 4184.43699999998 22086.58 652.12 27159.323
3659.432 82.624 4328.97000000003 9991.156 313.816 12785.718
3431.004 88.576 4115.26400000002 13902.344 417.504 18116.086
3494.416 84.636 4148.29699999996 20470.688 596.964 25083.105
3365.844 82.444 4018.59999999998 15615.924 465.728 20718.97
3475.648 85.316 4159.65700000001 14303.412 435.384 17695.245
3566.464 86.752 4254.63899999997 13744.848 416.72 17783.188
3449.604 82.372 4112.83299999998 9841.188 310.556 12281.247
3263.28 73.004 3880.99400000001 10363.712 319.464 13513.383
