"t_split_1" "theta" "M"
1.09319983358192 3.3214491269268 0.558687349407246
2.98500333231783 2.99932263573417 0.589077135876642
3.05010152782283 3.41300452946301 0.597055194160686
1.09339550036643 5.68218867852618 0.545805918723923
2.1605110733737 5.29415392030785 0.580898493403779
3.66455719277134 5.30436082700198 0.561139710206411
1.34857724830606 7.54238199019272 0.583367655276871
2.55324049482569 7.48508962073336 0.620290213484637
3.44508660415127 7.96886279976627 0.678487210167206
1.33215600069035 3.19552907582585 1.19624779095116
2.14122075379869 3.36146686097032 1.16598664247877
3.03384198514011 3.34053135210253 1.07976770046136
1.36974113194829 5.66121845275451 1.13974602126613
2.23311759870708 5.82725817389089 1.11621090314442
2.84507080887719 5.54207898625736 1.11357427629767
1.1593171656642 7.74220421613074 0.993412480310104
2.837700419971 7.62433970373902 1.05506108016536
5 7.35064965179891 0.968385559275919
1.25971843719156 3.14427032493184 1.41538037956587
1.97969602618966 3.3074948661265 1.27371704870632
5 3.37801755665129 1.88479294048097
1.40544797195373 5.43759759420803 1.44032400280257
2.5837900256261 5.65696681645762 1.44072705765208
5 5.59521562941497 1.74150153035233
1.11592022736681 7.92175901267044 1.60155519960761
2.98244168132664 7.53223037162821 1.54159984186955
1.98897172142007 8.31546735940685 1.59691846101838
1.18749699491176 3.33008093389228 0.539016865078749
2.21301323880582 3.42086642837317 0.49420422169399
3.5997930281254 3.26774285897522 0.57540366353017
0.89611489596767 5.82121058631319 0.499164373536718
2.49172803697528 5.30975916791671 0.557747641100228
3.27910531972646 5.94509645753494 0.594543006221551
1.21139245915058 7.82804905504146 0.582583186523916
2.58442540652036 7.43785766268069 0.509324335530277
3.32314457744207 7.70113039032433 0.583439248931732
1.65551825472603 3.31389233552073 1.0889298759784
2.54203277774705 3.43254064570467 1.00458853234941
2.71869384373598 3.21611047857831 1.01038623072824
1.34098113669533 5.62645880774135 1.10574084325877
3.27966422299733 5.48308331896138 1.10531075752567
5 5.53262303528764 1.0915326990932
1.58639405379848 7.4619296495412 1.00356027489416
2.48767333070198 7.72218306608994 1.08476175301031
2.90811606301724 8.09564932053747 1.2140582899448
1.24293164517733 3.20944250831345 2
2.30851545530904 3.19646765511966 1.6553320275493
5 3.29022578362264 1.30945539993701
1.36837304293186 5.70321294604108 1.48174203223401
3.17208604195895 5.30148189564388 1.37288521783131
2.75506455521945 5.59744560233292 1.3786824807429
1.41141641125366 7.70103001181393 1.68367465207249
2.89152283220651 7.42329572134355 1.44131346271625
4.93596785966858 7.78091720587857 1.79135505567048
