"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
323.116 15.664 383.833 3054.576 137.524 3425.736
321.196 13.792 375.33 1765.172 79.192 2071.513
360.336 15.932 419.073 6768.796 311.316 7442.877
333.632 13.528 388.259 2447.796 104.216 2785.456
305.512 12.112 357.454 2649.46 118.292 3058.83
308.512 14.224 364.97 3689.7 162.956 4180.847
298.62 14.168 354.659 2211 110.192 2556.748
306.36 13.396 361.127 2535.096 111.276 2917.507
319.136 13.024 373.553 1390.072 73.528 1690.835
316.152 13.952 372.323 3073.412 139.844 3438.467
302.156 12.756 354.76 1647.392 87.624 1959.587
319.66 13.7 374.381 1533.692 72.268 1811.812
317.396 13.776 372.839 2541.652 110.28 2891.314
303.824 13.636 358.609 1901.78 94.808 2261.134
311.452 12.804 365.543 1318.904 66.912 1579.237
300.476 12.984 356.118 3713.404 164.58 4198.856
301.544 14.728 357.907 1870.904 93.188 2200.146
300.42 14.148 355.044 2438.96 120.316 2902.541
322.988 12.544 376.279 2157.08 105.876 2459.938
347.116 14.928 405.871 1176.108 59.624 1412.305
301.752 12.452 353.08 1842.296 82.804 2151.959
325.616 11.512 376.814 1728.632 79.748 2025.556
316 13.78 372.982 1341.06 61.9 1604.637
319.728 10.448 370.795999999999 2990.884 129.244 3428.382
330.144 13.188 384.006 3856.628 169.572 4322.667
306.728 8.96 355.364 1975.872 88.46 2317.236
312.756 14.924 366.755 3199.66 154.968 3701.847
299.556 13.452 352.487 2095.292 95.472 2377.821
303.452 13 356.839 2819.236 132.236 3187.255
334.676 11.628 387.909 2547.704 123.52 2911.085
297.46 12.792 352.016000000001 1075.092 48.476 1286.999
343.648 15.612 403.438999999999 1684.804 83.48 1981.675
304.092 12.568 357.863 2515.224 121.928 2938.505
311.668 10.484 363.652999999999 2971.56 139.812 3359.823
328.176 11.2 381.462 2676.836 101.428 3034.067
311.2 12.772 364.127 1282.796 54.54 1542.59
335.36 11.116 388.139 1556.06 81.008 1817.94
315.72 11.504 368.567 1606.56 70.224 1886.197
300.916 11.78 352.948 2048.624 92.16 2357.631
329.908 10.196 383.016000000001 2368.232 119.46 2767.914
329.552 9.088 380.368999999999 1773.648 86.112 2087.101
342.116 12.088 395.505999999999 4502.744 187.452 4951.04
320.56 13.788 375.675999999999 2236.024 110.748 2587.905
306.908 13.28 361.138999999999 2825.104 124.084 3234.95
304.076 9.068 354.739 2143.256 106.864 2520.714
335.596 12.212 387.844999999999 2212.6 106.124 2496.688
325.46 13 378.409000000001 1933.848 83.02 2198.392
302.748 12.624 356.358 1708.376 84.296 2017.583
318.356 13.52 372.933999999999 1252.652 54.188 1482.462
320.632 14.02 372.958000000001 1800.276 92.648 2114.678
336.272 14.5 393.127 2350.792 111.644 2687.814
315.584 13.796 367.915000000001 1368.988 69.088 1608.093
312.908 10.156 364.031999999999 2227.056 111.04 2578.163
309.44 12.716 359.396000000001 1463.032 71.26 1738.952
