"init.user" "init.system" "init.elapsed" "ref.user" "ref.system" "ref.elapsed"
41.92 0.356 81.282 168.816 3.672 375.673
23.452 0.304 64.357 139.124 2.472 331.434
23.124 0.256 64.609 172.404 3.068 399.055
32.184 0.36 71.1 111.628 2.368 286.495
33.128 0.316 73.464 119.764 2.48 315.758
22.904 0.296 64.217 124.012 2.556 344.229
25.472 0.304 67.507 148.428 2.708 391.659
23.608 0.364 64.484 129.892 2.608 374.152
21.944 0.356 61.899 144.54 2.292 376.339
24.212 0.304 64.892 169.636 3.008 376.379
22.128 0.292 63.677 173.044 3.216 396.175
34.92 0.316 76.138 149.864 2.524 350.607
24.74 0.3 65.589 134.308 2.58 338.938
22.112 0.284 62.6 179.86 3.292 433.842
25.404 0.288 65.805 131.9 2.372 332.138
21.584 0.288 62.074 126.604 2.212 330.635
26.704 0.372 65.996 108.816 2.38 318.394
24.988 0.36 65.195 235.492 3.532 544.084
34.248 0.352 73.751 172.18 2.964 363.908
27.14 0.352 67.539 112.444 2.292 269.94
49.224 0.312 88.592 213.868 3.296 445.975
25.88 0.38 65.864 200.944 2.788 404.844
22.02 0.28 62.21 151.444 2.9 383.571
47.736 0.344 86.696 183.476 3.308 442.347
28.016 0.356 66.9750000000001 123.904 2.692 331.597
21.592 0.288 61.777 171.708 3.444 451.49
29.708 0.344 68.927 106.284 2.36 316.683
30.012 0.312 68.148 153.4 3.336 344.201
22.268 0.336 61.742 306.656 4.364 610.567
24.556 0.352 63.215 173.552 3.088 392.164
44.308 0.296 82.634 161.064 3 379.405
30.372 0.304 67.869 162.184 2.832 384.745
25.312 0.324 63.471 105.46 2.136 285.842
27.472 0.3 65.9159999999999 213.296 4.032 515.607
25.476 0.308 65.114 90.4 2.024 271.885
33.964 0.288 72.626 162.66 2.928 444.414
24.46 0.336 63.269 122.704 2.232 281.618
32.712 0.336 72.072 109.096 2.308 283.944
30.008 0.332 70.2420000000001 159.344 2.928 364.418
22.008 0.332 61.287 187.268 3.616 443.194
25.48 0.292 65.226 161.068 2.764 380.689
25.044 0.368 65.576 181.468 3.164 413.808
28.728 0.292 66.8780000000002 201.956 3.232 444.54
24.092 0.368 63.207 102.504 2.22 306.335
21.188 0.348 59.5609999999999 180.024 2.78 420.873
27.208 0.3 66.6129999999999 180.772 2.732 356.923
39.44 0.292 78.4759999999999 101.552 2.372 269.641
24.744 0.272 63.54 237.06 3.66 469.64
26.904 0.388 66.2860000000001 151.26 2.444 325.367
27.148 0.316 65.3889999999999 153.6 2.772 359.415
24.02 0.332 62.5 85.464 1.928 236.636
23.152 0.332 61.1100000000001 110.32 2.392 272.848
21.676 0.284 59.5360000000001 141.26 2.56 346.066
17.152 0.32 53.662 175.776 3.284 415.203
