"user.self" "sys.self" "elapsed" "user.child" "sys.child"
82.96 2.568 6873.856 12877.336 29.58
223.62 4.592 14032.999 26420.06 54.772
103.256 3.048 8377.147 15717.412 33.092
106.764 3.04 9573.06 18010.424 36.712
59.892 2.108 5702.672 10662.24 24.588
121.988 3.144 9868.36 18581.24 37.928
79.356 2.36 7382.452 13881.74 28.78
69.852 2.236 7355.785 13821.188 29.208
94.208 2.856 9108.197 17212.488 32.812
100.744 2.864 11060.87 20876.516 38.912
104.876 2.968 9388.868 17732.528 33.968
85.368 2.572 10244.183 19349.108 35.192
95.736 2.556 8370.305 15783.596 31.22
85.072 2.644 8890.148 16714.512 33.172
141.692 3.5 11296.319 21321.192 37.764
115.132 3.104 12991.196 24678.524 40.76
87.228 2.836 7041.015 13133.98 30.832
77.932 2.616 8686.475 16355.328 33.76
67.424 2.232 6017.34 11202.712 26.392
99.404 2.856 9436.884 17720.616 36.736
75.836 2.396 6214.601 11542.92 28.412
81.496 2.548 7978.74 14929.128 32.96
93.18 2.896 7691.554 14411.392 31.672
79.948 2.56 8364.503 15703.564 32.712
79.532 2.344 8240.083 15526.036 29.748
97 2.676 11412.441 21588.6 39.116
67.276 2.164 7864.113 14815.928 27.732
69.196 2.34 10033.437 18979.9 33.888
56.36 2.068 6112.643 11441.988 24.696
61.532 1.956 7985.067 15014.136 29.564
132.704 3.34 10342.095 19441.144 36.448
63.588 2.172 9174.409 17265.86 30.232
92.748 2.54 7756.763 14533.796 31.536
105.444 2.988 9779.257 18365.52 38.376
110.92 3.12 8306.173 15491.06 34.8
168.752 4.116 14382.537 27113.124 51.496
60.436 1.952 5397.647 10023.248 24.956
98.388 2.804 8680.72500000001 16298.016 35.24
94.504 2.792 7781.53200000001 14591.596 31.816
101.708 3.032 10607.051 19980.392 37.5
81.344 2.62 8186.84 15409.832 30.084
61.292 2.248 8899.529 16678.62 31.776
65.636 2.288 8338.197 15747.276 27.84
83.464 2.872 11764.731 22250.36 38.58
86.172 2.608 8667.579 16345.268 29.564
76.964 2.516 9521.866 17909.508 32.82
82.012 2.524 9536.047 18023.688 30.748
99.408 2.984 12406.469 23536.14 38.468
94.02 2.764 7656.215 14324.92 32.776
60.68 2.24 7800.15500000001 14623.812 30.296
150.188 3.696 10996.684 20652.376 42.728
84.096 2.672 9498.27 17861.144 34.804
68.736 2.384 6006.48499999999 11213.736 27.4
65.488 2.216 6929.718 12922.288 29.424
62.132 2.196 5916.875 10958.372 24.548
95.152 2.876 9549.283 17972.188 36.484
61.136 2.26 7525.206 14120.124 25.772
60.392 2.284 8782.31 16520.98 30.968
77.316 2.74 10141.413 19365.28 29.84
55.2 2.208 8806.32900000001 16753.324 29.492
52.552 2.012 5485.769 10257.872 23.524
40.544 1.828 5533.144 10381.368 22.3
48.744 1.988 6245.997 11819.8 22.412
36.712 1.716 5774.277 10854.68 21.964
