"theta" "m12" "m21" "q" "s2" "tau"
3.4 1.67333333333333 1.67333333333333 3.34 0.667333333333333 1.66733333333333
6.7 1.67333333333333 1.67333333333333 3.34 0.667333333333333 1.66733333333333
3.4 3.33666666666667 1.67333333333333 3.34 0.667333333333333 1.66733333333333
6.7 3.33666666666667 1.67333333333333 3.34 0.667333333333333 1.66733333333333
3.4 1.67333333333333 3.33666666666667 3.34 0.667333333333333 1.66733333333333
6.7 1.67333333333333 3.33666666666667 3.34 0.667333333333333 1.66733333333333
3.4 3.33666666666667 3.33666666666667 3.34 0.667333333333333 1.66733333333333
6.7 3.33666666666667 3.33666666666667 3.34 0.667333333333333 1.66733333333333
3.4 1.67333333333333 1.67333333333333 6.67 0.667333333333333 1.66733333333333
6.7 1.67333333333333 1.67333333333333 6.67 0.667333333333333 1.66733333333333
3.4 3.33666666666667 1.67333333333333 6.67 0.667333333333333 1.66733333333333
6.7 3.33666666666667 1.67333333333333 6.67 0.667333333333333 1.66733333333333
3.4 1.67333333333333 3.33666666666667 6.67 0.667333333333333 1.66733333333333
6.7 1.67333333333333 3.33666666666667 6.67 0.667333333333333 1.66733333333333
3.4 3.33666666666667 3.33666666666667 6.67 0.667333333333333 1.66733333333333
6.7 3.33666666666667 3.33666666666667 6.67 0.667333333333333 1.66733333333333
3.4 1.67333333333333 1.67333333333333 3.34 1.33366666666667 1.66733333333333
6.7 1.67333333333333 1.67333333333333 3.34 1.33366666666667 1.66733333333333
3.4 3.33666666666667 1.67333333333333 3.34 1.33366666666667 1.66733333333333
6.7 3.33666666666667 1.67333333333333 3.34 1.33366666666667 1.66733333333333
3.4 1.67333333333333 3.33666666666667 3.34 1.33366666666667 1.66733333333333
6.7 1.67333333333333 3.33666666666667 3.34 1.33366666666667 1.66733333333333
3.4 3.33666666666667 3.33666666666667 3.34 1.33366666666667 1.66733333333333
6.7 3.33666666666667 3.33666666666667 3.34 1.33366666666667 1.66733333333333
3.4 1.67333333333333 1.67333333333333 6.67 1.33366666666667 1.66733333333333
6.7 1.67333333333333 1.67333333333333 6.67 1.33366666666667 1.66733333333333
3.4 3.33666666666667 1.67333333333333 6.67 1.33366666666667 1.66733333333333
6.7 3.33666666666667 1.67333333333333 6.67 1.33366666666667 1.66733333333333
3.4 1.67333333333333 3.33666666666667 6.67 1.33366666666667 1.66733333333333
6.7 1.67333333333333 3.33666666666667 6.67 1.33366666666667 1.66733333333333
3.4 3.33666666666667 3.33666666666667 6.67 1.33366666666667 1.66733333333333
6.7 3.33666666666667 3.33666666666667 6.67 1.33366666666667 1.66733333333333
3.4 1.67333333333333 1.67333333333333 3.34 0.667333333333333 3.33366666666667
6.7 1.67333333333333 1.67333333333333 3.34 0.667333333333333 3.33366666666667
3.4 3.33666666666667 1.67333333333333 3.34 0.667333333333333 3.33366666666667
6.7 3.33666666666667 1.67333333333333 3.34 0.667333333333333 3.33366666666667
3.4 1.67333333333333 3.33666666666667 3.34 0.667333333333333 3.33366666666667
6.7 1.67333333333333 3.33666666666667 3.34 0.667333333333333 3.33366666666667
3.4 3.33666666666667 3.33666666666667 3.34 0.667333333333333 3.33366666666667
6.7 3.33666666666667 3.33666666666667 3.34 0.667333333333333 3.33366666666667
3.4 1.67333333333333 1.67333333333333 6.67 0.667333333333333 3.33366666666667
6.7 1.67333333333333 1.67333333333333 6.67 0.667333333333333 3.33366666666667
3.4 3.33666666666667 1.67333333333333 6.67 0.667333333333333 3.33366666666667
6.7 3.33666666666667 1.67333333333333 6.67 0.667333333333333 3.33366666666667
3.4 1.67333333333333 3.33666666666667 6.67 0.667333333333333 3.33366666666667
6.7 1.67333333333333 3.33666666666667 6.67 0.667333333333333 3.33366666666667
3.4 3.33666666666667 3.33666666666667 6.67 0.667333333333333 3.33366666666667
6.7 3.33666666666667 3.33666666666667 6.67 0.667333333333333 3.33366666666667
3.4 1.67333333333333 1.67333333333333 3.34 1.33366666666667 3.33366666666667
6.7 1.67333333333333 1.67333333333333 3.34 1.33366666666667 3.33366666666667
3.4 3.33666666666667 1.67333333333333 3.34 1.33366666666667 3.33366666666667
6.7 3.33666666666667 1.67333333333333 3.34 1.33366666666667 3.33366666666667
3.4 1.67333333333333 3.33666666666667 3.34 1.33366666666667 3.33366666666667
6.7 1.67333333333333 3.33666666666667 3.34 1.33366666666667 3.33366666666667
3.4 3.33666666666667 3.33666666666667 3.34 1.33366666666667 3.33366666666667
6.7 3.33666666666667 3.33666666666667 3.34 1.33366666666667 3.33366666666667
3.4 1.67333333333333 1.67333333333333 6.67 1.33366666666667 3.33366666666667
6.7 1.67333333333333 1.67333333333333 6.67 1.33366666666667 3.33366666666667
3.4 3.33666666666667 1.67333333333333 6.67 1.33366666666667 3.33366666666667
6.7 3.33666666666667 1.67333333333333 6.67 1.33366666666667 3.33366666666667
3.4 1.67333333333333 3.33666666666667 6.67 1.33366666666667 3.33366666666667
6.7 1.67333333333333 3.33666666666667 6.67 1.33366666666667 3.33366666666667
3.4 3.33666666666667 3.33666666666667 6.67 1.33366666666667 3.33366666666667
6.7 3.33666666666667 3.33666666666667 6.67 1.33366666666667 3.33366666666667
