"user.self" "sys.self" "elapsed" "user.child" "sys.child"
16.768 1.284 245.033 425.164 10.176
22.348 1.74 329.015 565.012 14.652
17.656 1.42 300.038 526.852 13.928
59.4 2.516 507.802 834.584 23.308
13.332 1.172 277.743 491.724 12.3
12.388 1.144 279.985 498.936 11.892
18.908 1.444 344.636 598.42 14.736
20.184 1.588 406.299 721.984 15.656
16.092 1.308 366.164 653.324 13.636
20.1 1.512 274.814 472.72 12.384
14.788 1.24 260.277 451.964 11.436
22.14 1.572 314.942 539.156 13.7
19.276 1.344 300.277 516.42 14.06
15.092 1.352 305.326 539.46 13.764
23.412 1.568 359.061 625.816 15.672
13.436 1.168 295.053 516.5 12.412
47.852 2.748 600.5 1034.88 24.856
17.144 1.468 357.209 625.364 14.172
17.176 1.504 264.632 459.88 11.312
18.796 1.524 270.686 468.996 11.368
14.348 1.352 259.551 454.936 11.36
14.316 1.316 266.681 467.916 13.144
15.452 1.408 298.98 525.516 14.212
14.412 1.328 296.514 517.004 12.344
16.612 1.392 321.038 566.732 13.608
14.652 1.32 332.128 591.668 13.236
14.908 1.356 347.009 620.056 13.536
21.28 1.576 283.292 486.808 12.924
30.984 2 369.233 621.936 17.544
18.548 1.576 298.762 519.812 13.52
13.956 1.364 263.687 463.156 13.048
32.488 2.016 446.107 771.812 19.64
26.512 1.748 386.058 671.368 17.1
33.62 2 439.26 756.556 18.88
16.368 1.344 370.163 660.18 13.98
14.388 1.36 356.524 637.008 12.98
17.908 1.36 253.719 437.42 11.86
16.376 1.388 271.116 474.044 11.616
26.292 1.712 332.77 570.468 15.216
18.528 1.392 300.064 523.26 14.088
17.192 1.36 307.404 540.748 14.108
12.268 1.244 285.919 508.964 12.5
14.152 1.308 295.582 522.688 12.844
14.18 1.144 329.105 585.948 12.684
16.788 1.36 371.956 661.344 13.768
17.304 1.352 265.079 454.16 11.748
11.3 1.212 234.594 414.932 10.52
27.744 1.956 363.182 624.212 15.744
18.548 1.48 296.919 516.992 14.32
18.984 1.456 322.63 559.42 14.172
19.88 1.632 343.013 601.464 15.192
16.324 1.412 319.077 564.392 13.212
11.576 1.212 320.052 573.884 12.04
22.016 1.688 415.105 735.736 15.42
20.376 1.54 271.216 465.852 12.692
24.572 1.688 326.93 563.26 14.616
24.456 1.712 327.057 561.46 15.16
27.296 1.88 353.216 605.244 16.856
20.4 1.612 359.405 632.732 15.904
13.448 1.2 293.374 522.132 12.468
44.708 2.292 518.923 886.232 21.544
22.564 1.58 437.437 772.132 16.276
17.38 1.352 368.937 654.74 13.608
28.488 1.884 330.999 560.72 15.088
18.364 1.384 278.896 485 12.86
30.468 1.74 348.363 592.28 15.752
17.18 1.352 292.812 508.9 14.176
60.304 2.884 602.542 1013.192 26.352
12.944 1.16 272.068 473.256 12.396
14.852 1.248 301.674 533.664 12.764
24.24 1.828 444.88 785.26 17.04
21.9 1.64 415.124 734.004 16.108
13.656 1.288 224.601 386.172 9.376
22.652 1.62 315.547 545.664 14.268
17.672 1.548 289.112 504.348 13.156
28.404 1.848 371.082 629.444 17.5
34.388 1.96 419 710.968 18.84
17.04 1.472 312.36 548.688 14.172
21.668 1.7 367.431 637.46 15.124
30.58 2.052 512.408 901.712 19.428
23.652 1.716 440.49 775.904 16.056
23.804 1.624 286.304 487.06 13.904
13.248 1.296 256.459 444.788 12.3
27.808 1.884 352.896 598.504 16.72
24.4 1.716 343.385 591.804 16.336
41.868 2.208 482.006 823.624 20.972
21.908 1.744 378.959 667.22 16.228
19.62 1.564 343.524 603.464 15.112
20.272 1.6 418.149 743.124 15.74
19.048 1.52 394.761 701.552 14.304
20.84 1.572 277.27 475.752 13.476
50.724 2.48 444.756 732.644 19.888
16.752 1.416 268.226 466.752 12.148
26.492 1.764 344.587 590.216 16.632
19.384 1.484 328.488 576.452 14.228
13.02 1.212 291.452 518.66 12.824
26.892 1.672 379.925 657.236 16.56
25.248 1.816 415.329 728.768 16.884
22.992 1.72 400.061 707.2 15.128
35.92 2.1 334.425 555.228 15.448
15.46 1.328 248.503 432.796 11.344
13.572 1.164 237.585 415.296 11.124
14.924 1.26 252.514 439.904 12.412
15.24 1.236 267.758 467.184 12.576
14.844 1.232 262.284 460.684 12.004
18.228 1.472 298.641 523.684 13.448
9.34 1.04 234.117 414.668 9.784
10.988 1.02 257.883 462.928 10.176
