"user.self" "sys.self" "elapsed" "user.child" "sys.child"
32.972 1.948 328.449 550.052 15.224
27.64 1.996 341.725 578.704 15.58
34.38 2.112 416.803 713.984 19.892
61.752 2.7 519.183 852.236 24.716
24.876 1.632 370.732 645.828 16.68
16.548 1.456 326.977 580.332 14.068
27.884 1.88 434.875 760.924 18.44
28.42 2.032 479.900000000001 841.852 19.032
22.976 1.668 436.909 776.512 16.38
22.98 1.592 270.364 461.116 12
18.02 1.488 266.254 461.144 12.36
23.904 1.688 339.535 588.212 15.492
22.34 1.58 331.088 569.076 15.564
17.564 1.416 308.514999999999 541.66 14.252
30.508 2.02 446.197 778.98 19.592
25.292 1.764 419.986 739.144 17.88
29.984 1.992 480.425 840.4 19.132
32.588 2.14 526.045 923.88 20.584
30.66 2.028 350.864 597.364 15.48
30.9 1.932 357.494 610.952 15.52
23.172 1.796 325.63 564.588 15.072
26.004 1.832 363.992 630.336 16.78
35 2.116 446.393 770.04 19.944
16.36 1.5 324.182 575.988 14.224
28.856 1.852 440.717 769.472 18.972
18.964 1.484 390.72 695.292 15.916
26.052 1.828 457.696 806.836 18.28
38.82 2.128 356.196000000001 589.7 16.296
26.888 1.8 327.427000000001 552.548 15.924
18.66 1.484 286.889999999999 499.164 13.704
18.18 1.504 294.399 514.292 14.632
57.396 2.712 564.416 941.604 24.54
25.164 1.792 369.576 636.312 16.336
35.44 2.188 474.873 814.812 20.74
24.268 1.876 445.799 787.48 17.992
22.664 1.692 444.161 788.344 17.52
13.336 1.248 206.888999999999 358.984 9.596
12.024 1.14 213.204 373.444 9.968
13.316 1.172 223.755999999999 390.052 11.216
16.108 1.356 285.326 501.124 13.836
20.804 1.56 332.115 580.48 15.28
24.352 1.792 387.602 678.448 17.388
29.1 2.02 434.793 756.628 19.404
29.688 2.012 480.809 843.772 18.964
35.88 2.148 536.758999999999 938.992 21.068
21.18 1.572 293.9 501.64 13.996
47.144 2.472 454.417 760.64 20.66
23.216 1.716 331.182000000001 574.208 15.444
28.188 1.888 373.895 644.052 18.42
30.952 1.996 431.972 749.748 19.096
20.12 1.548 356.404 629.48 15.764
45.256 2.424 568.19 978.856 24.284
19.196 1.716 404.625 719.924 16.18
28.088 1.844 473.583 833.56 18.712
31.032 2.012 316.564 530.368 15.752
34.696 2.044 369.413 623.656 17.596
34.012 2.188 401.265 685.568 18.84
40.232 2.188 427.247 720.448 20.8
63.028 2.624 583.632000000001 973.5 25.564
18.56 1.36 335.725 592.488 14.896
40.636 2.292 521.706 899.432 22.048
52.956 2.732 664.559999999999 1146.78 25.716
31.332 2.016 520.645 916.504 20.156
11.316 1.164 201.889 354.604 8.752
28.784 2.012 333.156 566.296 15.924
40.148 2.392 425.078 717.828 19.724
34.976 2.104 400.237 680.072 19.696
17.472 1.388 308.63 542.376 14
30.008 2.064 419.389 721 18.856
36.912 2.304 499.713 865.02 21.372
41.396 2.468 567.128 983.496 22.62
26.344 1.832 454.464 799.8 17.624
36.02 2.132 363.864 610.96 15.796
41.284 2.232 418.733 704.56 19.244
28.732 2.028 374.774 644.62 17.668
24.248 1.82 364.717 635.432 17.176
19.388 1.676 345.307 608.884 16
37.292 2.204 462.462 795.58 20.356
30.524 1.904 465.593 807.088 20.444
23.696 1.94 458.254 813.692 18.232
36.844 2.104 529.237 923.848 20.608
17.056 1.436 243.366 418.488 12.368
23.008 1.836 332.835 570.192 16.132
36.376 2.304 425.002 726.204 19.844
37.704 2.212 424.928 721.996 20.216
28.504 1.92 389.994000000001 672.904 18.008
13.944 1.408 298.116 529.468 12.932
43.172 2.504 520.761 893.284 22.576
67.86 3.124 713.646000000001 1213.88 27.812
45.028 2.436 623.327 1087.284 23.852
16.776 1.376 233.940000000001 402.856 10.704
20.272 1.528 289.58 501.08 14.352
32.08 2.036 381.584 652.496 17.708
23.6 1.652 331.467000000001 565.996 15.96
13.536 1.2 285.331 506.764 12.744
36.444 2.204 467.599999999999 805.168 20.84
45.532 2.552 503.027 858.272 22.632
22.692 1.828 411.545 719.676 16.696
46.088 2.516 576.342000000001 999.576 22.784
27.516 1.976 318.808 541.324 15.972
29.28 1.856 344.982999999999 588.584 15.828
32.8 2.276 385.931 656.788 17.844
31.244 1.888 358.023 607.876 17.416
18.032 1.528 319.134999999999 559.76 14.98
14.832 1.288 288.26 509.624 13.328
23.128 1.664 357.940000000001 625.376 16.508
23.992 1.756 388.985 689.596 16.308
23.16 1.788 389.431 691.08 16.428
