"user.self" "sys.self" "elapsed" "user.child" "sys.child"
20.708 1.544 261.953 449.1 11.464
33.34 1.956 356.585 595.288 16.388
26.252 1.708 337.656 579.432 16.068
14.996 1.144 255.429 445.092 12.376
35.988 2.248 472.188 808.688 20.524
18.092 1.496 332.742 587.572 13.596
47.74 2.324 505.525 855.064 20.54
35.1 1.996 500.422 867.624 18.72
22.9 1.504 418.901 741.5 14.964
20.38 1.512 258.581 442.604 11.116
12.208 1.132 242.506 427.768 11.564
24.596 1.656 318.776 547.256 14.508
20.824 1.428 306.376 530.544 14.96
16.684 1.424 320.548 559.904 14.428
33.432 1.908 436.126 755.296 18.892
46.66 2.236 521.834 888.572 21.38
28.956 1.748 455.413 787.128 16.944
20.016 1.476 400.063 708.912 14.412
18.172 1.368 257.6 445.372 11.616
25.696 1.744 320.907 550.232 14.412
14.684 1.216 246.667 430.556 10.592
12.828 1.128 248.959 431.38 11.64
14.56 1.12 275.106 478.472 12.396
13.676 1.176 285.813 508.5 12.048
12.164 1.164 274.88 489.008 11.668
18.296 1.428 368.693 653.844 14.376
15.216 1.252 354.645 633.72 13.724
20.98 1.492 265.54 449.376 11.52
20.86 1.512 285.275 485.924 13.948
19.4 1.592 292.188 501.448 13.624
34.228 1.876 378.359 639.688 18.244
22.908 1.652 354.355 617.652 15.44
21.18 1.52 334.479 583.548 14.832
16.196 1.196 300.626 520.84 13.044
24.424 1.708 438.033 769.348 16.416
17.848 1.488 393.029 700.72 14.08
46.164 2.284 372.357 607.008 16.452
29.184 1.836 337.288 574.08 15.288
15.392 1.284 243.283 423.4 11.448
12.328 1.116 244.019 429.188 11.7
16.9 1.444 311.872 541.644 13.576
20.424 1.736 365.327 643.776 15.728
13.496 1.212 276.737 489.144 12.048
21.024 1.56 393.593 694.988 15.044
12.952 1.144 330.225 590.844 11.96
22.7 1.636 291.907 494.464 13.476
18.412 1.34 278.744 476.856 12.06
18.476 1.488 279.86 479.088 12.344
21.496 1.656 319.275 553.54 15.444
22.56 1.768 361.133 631.156 16.136
26.892 1.768 382.766 663.076 16.58
17.164 1.472 322.133 569.092 13.388
18.092 1.46 371.443 659.276 13.696
20.784 1.568 395.735 692.32 14.616
18.748 1.256 246.447 417.752 11.856
13.156 1.196 236.646 415.876 11.672
23.308 1.616 326.995 565.124 15.572
15.636 1.324 268.948 463.008 12.584
15.876 1.256 296.623 524.52 12.8
11.988 1.196 291.914 515.324 12.076
15.056 1.276 303.993 537.96 12.672
18.248 1.404 378.896 672.684 14.172
28.52 1.88 485.928 847.64 17.356
13.776 1.38 232.713 407.128 10.036
17.58 1.396 261.706 453.848 12.436
15.576 1.24 250.793 436.596 11.672
15.708 1.408 269.924 470.932 13.26
17.92 1.456 310.208 543.62 13.936
15.48 1.28 288.684 509.536 12.9
21.872 1.664 360.768 623.304 15.08
26.108 1.82 430.226 754.404 16.84
16.044 1.34 356.074 633.284 13.124
12.824 1.216 213.146 371.836 8.512
16.44 1.328 261.287 455.46 11.712
18.108 1.38 281.805 483.576 12.804
15.284 1.292 269.619 472.352 12.752
15.42 1.32 285.658 495.108 13.1
15.164 1.34 296.358 523.144 13.06
14.696 1.264 295.306 523.108 12.868
19.212 1.572 401.838 714.132 15.256
14.912 1.288 339.816 607.364 12.212
12.94 1.092 211.221 361.812 9.408
14.516 1.4 254.398 445.424 12.52
24.608 1.636 337.334 582.9 15.996
13.368 1.22 254.251 446.872 11.964
12.468 1.204 269.539 477.156 12.1
16.232 1.296 320.296 568.736 13.464
18.332 1.412 316.22 553.684 13.676
21.372 1.516 412.755 729.444 15.408
22.244 1.588 416.981000000001 730.696 14.532
21.844 1.512 272.597 463.788 12.976
22.424 1.676 294.552 506.144 13.816
53.7 2.58 456.371 750.852 20.496
22.16 1.532 311.788 535.896 15.108
16.92 1.348 317.447 552.732 13.72
34.056 2.076 441.148 754.972 18.984
17.648 1.424 312.992 550.08 13.684
16.86 1.264 329.261 582.056 12.976
15.732 1.208 338.536 603.86 12.468
27.952 1.732 287.018 478.816 12.8
15.304 1.316 242.479 418.412 11.004
18.252 1.416 272.343 466.58 12.956
15.3 1.268 246.768 424.332 12.04
26.864 1.868 330.834 567.224 15.884
22.644 1.492 316.775 549.696 14.544
14.724 1.3 268.81 473.952 12.148
14.996 1.24 279.037 496.108 11.784
17.628 1.296 309.174 549.412 12.472
