"tau21" "tau31" "theta" "m"
1.42577324203877 1.78595543360907 4.0621761061662 0.721723013879765
3.55315913366969 2.03655395437107 3.83189528844365 0.677135555227665
1.70085187078579 3.1323125385068 4.04734514343094 0.723748843522446
3.26359211991518 3.35274647074676 3.98669642142131 0.719796477051471
1.68175278106445 1.30839152432963 7.15604411268124 0.756628430576356
3.0997078604165 1.40119928208944 7.14446530433952 0.733737939378302
1.80618434580554 3.43164375480189 7.0607837458979 0.789295284582647
2.06782876402209 4.13923728658208 7.09168212531658 0.707860472772175
1.55243748389405 1.96767537184702 3.89602914447711 1.42297673615423
2.99690419450709 2.05081130996387 4.00337091279661 1.38544901728112
2.61372390768064 2.49703989126386 3.95292117190661 1.39119012501123
4.09079862619831 2.68290776186931 3.98188358213169 1.32345623642118
1.71175731121289 1.38505166680166 6.99154477879035 1.33755877191663
3.52927493563639 1.26926502916132 7.16570491571638 1.36759838202537
3.28344975318357 2.65763005149743 6.77843455446354 1.30950440492142
2.84567644841791 3.82217190165105 6.87601753012762 1.35058114647198
1.72141097508914 1.75146084076493 3.96403822409161 0.731302751877408
3.24590294147364 1.72212109882976 3.90644472418081 0.676792758334189
1.78646706127952 3.52410862376709 3.9584992505895 0.782913698368794
3.27892824679491 3.45196709979816 4.05364203589117 0.787174101659714
1.71146927249473 1.71089144750498 6.82264442860021 0.757196124475894
2.52397601118358 2.82169711592294 6.89349811196534 0.722133088506262
1.39065874120338 3.40450177325549 7.16623836473302 0.738862622864285
3.28842158932731 1.98735256828913 7.32695091322615 0.75142604835675
1.67003576739436 1.54364903154308 4.10751003798016 1.36403901996916
2.49706472404135 2.58917278033682 4.00973089706747 1.41337254373561
1.85154768258963 3.52935187131701 3.9135902232746 1.38601874613728
2.70477898881781 4.24679727342588 3.95458594639483 1.36847158095879
1.73201035754436 1.38754642486883 7.07146129969851 1.34730112626035
1.46962170216697 3.32934696885395 6.98192851296494 1.40738913282247
3.53995574452315 1.83708171282178 6.97805034611602 1.32061558295141
2.39736431217496 3.70459210397258 6.97871807135066 1.42700259159121
