"user.self" "sys.self" "elapsed" "user.child" "sys.child"
34.912 1.7 1152.085 2088.6 14.372
40.1 1.688 1436.502 2602.344 15.5
69.268 2.5 1916.651 3481.172 21.448
27.068 1.696 1314.119 2412.156 14.236
54.268 2.052 1732.234 3153.532 17.884
67.62 2.368 2115.206 3847.488 20.008
59.352 2.384 2414.741 4454.996 23.076
28.796 1.736 1802.96 3326.452 16.556
44.012 2.032 1397.169 2535.444 17.272
71.008 2.428 1849.819 3339.184 20.624
51.252 2.412 1729.412 3155.572 19.812
22.552 1.488 1253.416 2309.968 13.484
35.832 1.66 1484.774 2709.896 15.416
38.492 2.04 2000.356 3709.532 19.84
32.848 1.916 1846.896 3399.972 17.476
48.208 2.144 2063.893 3807.268 18.764
41.956 1.828 1267.373 2301.712 16.204
36.424 1.948 1558.065 2876.772 17.872
69.192 2.916 2110.177 3878.044 23.628
42.772 1.96 1624.082 2983.792 17.172
36.512 1.572 1458.098 2689.324 14.956
39.344 1.944 1861.432 3444.82 18.228
42.964 1.964 1800.074 3344.208 17.928
64.452 2.336 2088.024 3868.52 19.88
37.752 1.704 1178.042 2155.028 14.948
35.464 2.06 1494.518 2757.648 16.72
30.512 1.776 1369.754 2516.548 15.828
20.772 1.516 1197.185 2225.492 13.12
45.352 1.904 1577.192 2917.776 16.536
27.02 1.76 1561.544 2943.256 15.504
36.464 2.024 1787.766 3365.468 17.796
37.704 1.616 1511.538 2830.332 15.12
