"user.self" "sys.self" "elapsed" "user.child" "sys.child"
8.648 1.424 1748.17 2970.832 265.708
11.388 1.62 1853.782 3129.804 290.432
8.396 1.404 1562.37 2622.964 257.42
9.876 1.432 1772.185 2999.612 282.376
8.152 1.404 1594.159 2683.792 257.684
7.144 1.2 1526.633 2581.876 232.716
7.288 1.432 1685.354 2852.624 264.288
7.864 1.396 1738.032 2942.24 273.5
10.448 1.52 1716.018 2885.88 274.144
9.188 1.54 1793.336 3049.824 271.68
6.632 1.312 1595.79 2697.612 249.844
8.108 1.388 1719.346 2907.968 273.72
8.536 1.396 1560.3 2626.236 251.448
6.712 1.32 1535.351 2596.284 239.288
6.556 1.208 1460.291 2458.868 236.56
8.02 1.364 1746.627 2958.372 275.104
9.436 1.548 1833.372 3141.428 282.964
8.496 1.548 1762.708 3010.596 276.696
13.576 1.716 1961.702 3367.236 319.86
7.66 1.364 1783.013 3065.324 275.748
7.44 1.216 1349.274 2262.148 222.076
10.708 1.604 1732.219 2950.636 278.536
11.576 1.792 1968.326 3384.604 330.64
7.78 1.376 1665.255 2849.892 266.932
11.252 1.532 1716.609 2941.416 278.532
7.812 1.584 1749.393 3013.268 277.228
11.576 1.648 1733.401 2961.832 288.944
9.552 1.5 1715.566 2923.436 271.396
13.4 1.708 1929.417 3347.032 319.176
9.132 1.32 1672.307 2870.004 270.568
12.132 1.808 1881.998 3237.492 328.476
8.348 1.396 1595.309 2739.908 261.656
