"tau" "theta" "m"
1.2575 3.25 0.575
2.505 3.25 0.575
3.7525 3.25 0.575
1.2575 5.5 0.575
2.505 5.5 0.575
3.7525 5.5 0.575
1.2575 7.75 0.575
2.505 7.75 0.575
3.7525 7.75 0.575
1.2575 3.25 1.05
2.505 3.25 1.05
3.7525 3.25 1.05
1.2575 5.5 1.05
2.505 5.5 1.05
3.7525 5.5 1.05
1.2575 7.75 1.05
2.505 7.75 1.05
3.7525 7.75 1.05
1.2575 3.25 1.525
2.505 3.25 1.525
3.7525 3.25 1.525
1.2575 5.5 1.525
2.505 5.5 1.525
3.7525 5.5 1.525
1.2575 7.75 1.525
2.505 7.75 1.525
3.7525 7.75 1.525
1.2575 3.25 0.575
2.505 3.25 0.575
3.7525 3.25 0.575
1.2575 5.5 0.575
2.505 5.5 0.575
3.7525 5.5 0.575
1.2575 7.75 0.575
2.505 7.75 0.575
3.7525 7.75 0.575
1.2575 3.25 1.05
2.505 3.25 1.05
3.7525 3.25 1.05
1.2575 5.5 1.05
2.505 5.5 1.05
3.7525 5.5 1.05
1.2575 7.75 1.05
2.505 7.75 1.05
3.7525 7.75 1.05
1.2575 3.25 1.525
2.505 3.25 1.525
3.7525 3.25 1.525
1.2575 5.5 1.525
2.505 5.5 1.525
3.7525 5.5 1.525
1.2575 7.75 1.525
2.505 7.75 1.525
3.7525 7.75 1.525
1.2575 3.25 0.575
2.505 3.25 0.575
3.7525 3.25 0.575
1.2575 5.5 0.575
2.505 5.5 0.575
3.7525 5.5 0.575
1.2575 7.75 0.575
2.505 7.75 0.575
3.7525 7.75 0.575
1.2575 3.25 1.05
2.505 3.25 1.05
3.7525 3.25 1.05
1.2575 5.5 1.05
2.505 5.5 1.05
3.7525 5.5 1.05
1.2575 7.75 1.05
2.505 7.75 1.05
3.7525 7.75 1.05
1.2575 3.25 1.525
2.505 3.25 1.525
3.7525 3.25 1.525
1.2575 5.5 1.525
2.505 5.5 1.525
3.7525 5.5 1.525
1.2575 7.75 1.525
2.505 7.75 1.525
3.7525 7.75 1.525
1.2575 3.25 0.575
2.505 3.25 0.575
3.7525 3.25 0.575
1.2575 5.5 0.575
2.505 5.5 0.575
3.7525 5.5 0.575
1.2575 7.75 0.575
2.505 7.75 0.575
3.7525 7.75 0.575
1.2575 3.25 1.05
2.505 3.25 1.05
3.7525 3.25 1.05
1.2575 5.5 1.05
2.505 5.5 1.05
3.7525 5.5 1.05
1.2575 7.75 1.05
2.505 7.75 1.05
3.7525 7.75 1.05
1.2575 3.25 1.525
2.505 3.25 1.525
3.7525 3.25 1.525
1.2575 5.5 1.525
2.505 5.5 1.525
3.7525 5.5 1.525
1.2575 7.75 1.525
2.505 7.75 1.525
3.7525 7.75 1.525
